"state","total_earmarks_Baseline","total_earmarks_With Earmarks","total_repayments_Baseline","total_repayments_With Earmarks","total_cap_grants_Baseline","total_cap_grants_With Earmarks","earmark_amount","repayment_loss_amount","net_funding_change","net_financial_impact","loss_start","loss_end","funding_change_positive","funding_change_negative","impact_type"
"OH",0,438149250,3884012508.90852,3683772597.88676,571652000,727807544.296,438149250,200239911.021761,156155544.296,-44084366.7257614,156155544.296,-44084366.7257614,156155544.296,0,"Negative Net Impact"
"AZ",0,318161210,301104978.723683,157801543.564448,185201473.684211,285069592.98421,318161210,143303435.159235,99868119.2999998,-43435315.8592351,99868119.2999998,-43435315.8592351,99868119.2999998,0,"Negative Net Impact"
"NE",0,183146400,484520611.520697,392432968.993893,214271616.842105,272720536.442105,183146400,92087642.5268039,58448919.5999999,-33638722.926804,58448919.5999999,-33638722.926804,58448919.5999999,0,"Negative Net Impact"
"NV",0,195016400,350310947.981259,255697575.287178,209572968.421053,274594388.805053,195016400,94613372.6940808,65021420.3839999,-29591952.3100809,65021420.3839999,-29591952.3100809,65021420.3839999,0,"Negative Net Impact"
"MI",0,499650360,1798406818.83737,1559425429.60824,685758455.789473,901251360.477474,499650360,238981389.229128,215492904.688,-23488484.5411272,215492904.688,-23488484.5411272,215492904.688,0,"Negative Net Impact"
"OR",0,323770000,482032538.730806,331049044.779339,252983157.894737,390111937.294737,323770000,150983493.951466,137128779.4,-13854714.5514661,137128779.4,-13854714.5514661,137128779.4,0,"Negative Net Impact"
"AR",0,280500000,1508994036.70553,1365917007.2866,361792217.894737,492387241.414737,280500000,143077029.418928,130595023.52,-12482005.8989282,130595023.52,-12482005.8989282,130595023.52,0,"Negative Net Impact"
"KY",0,266280000,542123862.340815,421768906.783136,243468947.368421,357370221.280421,266280000,120354955.557678,113901273.912,-6453681.64567819,113901273.912,-6453681.64567819,113901273.912,0,"Negative Net Impact"
"ME",0,206310000,272134356.086755,186607955.901187,168100000,249712519.6,206310000,85526400.1855683,81612519.5999999,-3913880.58556834,81612519.5999999,-3913880.58556834,81612519.5999999,0,"Negative Net Impact"
"SC",0,299150000,586730220.34825,440709471.556629,217386360.378947,360647009.878947,299150000,146020748.791622,143260649.5,-2760099.29162145,143260649.5,-2760099.29162145,143260649.5,0,"Negative Net Impact"
"MN",0,357538770,1247119874.1554,1085533855.1639,330305894.736842,499806569.332842,357538770,161586018.991493,169500674.596,7914655.60450739,169500674.596,7914655.60450739,169500674.596,0,"Positive Net Impact"
"MS",0,347484240,438761622.7756,271933292.712585,182942105.263158,374776994.763158,347484240,166828330.063015,191834889.5,25006559.4369845,191834889.5,25006559.4369845,191834889.5,0,"Positive Net Impact"
"OK",0,403282810,2479970789.113,2282354834.00724,291559368.421053,514355331.841053,403282810,197615955.105767,222795963.42,25180008.3142328,222795963.42,25180008.3142328,222795963.42,0,"Positive Net Impact"
"UT",0,277544810,398189671.600409,277028870.699489,198667894.736842,351515224.336842,277544810,121160800.90092,152847329.6,31686528.6990804,152847329.6,31686528.6990804,152847329.6,0,"Positive Net Impact"
"AK",0,313620000,729553820.094688,574811097.463434,296315789.473684,485238309.073684,313620000,154742722.631254,188922519.6,34179796.968746,188922519.6,34179796.968746,188922519.6,0,"Positive Net Impact"
"NJ",0,452077930,2046286807.80142,1854807851.27284,460527972.631579,690172187.519579,452077930,191478956.528581,229644214.888,38165258.3594193,229644214.888,38165258.3594193,229644214.888,0,"Positive Net Impact"
"WV",0,365314380,415609700.050964,316748218.120637,199464443.021053,440081342.621053,365314380,98861481.9303271,240616899.6,141755417.669673,240616899.6,141755417.669673,240616899.6,0,"Positive Net Impact"
