state,allotment,pct,fy,program,base_total,hypothetical,account,total_earmarks,actual_total,difference,diff_as_pct,bar_color,state_abbr
South Carolina,5825000,0.0125,FY24,DWSRF,1103833905,13797923.81,STAG—Drinking Water State Revolving Fund,20015000,25840000,12042076.19,0.87274552,Positive,SC
South Dakota,4661000,0.01,FY24,DWSRF,1103833905,11038339.05,NA,0,4661000,-6377339.05,-0.577744443,Negative,SD
Tennessee,7846000,0.0168,FY24,DWSRF,1103833905,18544409.6,STAG—Drinking Water State Revolving Fund,8762624,16608624,-1935785.604,-0.104386478,Negative,TN
Texas,37157000,0.0797,FY24,DWSRF,1103833905,87975562.23,STAG—Drinking Water State Revolving Fund,13974765,51131765,-36843797.23,-0.418795814,Negative,TX
Utah,4661000,0.01,FY24,DWSRF,1103833905,11038339.05,STAG—Drinking Water State Revolving Fund,15877841,20538841,9500501.95,0.860682201,Positive,UT
Vermont,4661000,0.01,FY24,DWSRF,1103833905,11038339.05,STAG—Drinking Water State Revolving Fund,5835000,10496000,-542339.05,-0.049132306,Negative,VT
Virginia,6581000,0.0141,FY24,DWSRF,1103833905,15564058.06,STAG—Drinking Water State Revolving Fund,11168770,17749770,2185711.94,0.140433294,Positive,VA
Washington,10672000,0.0229,FY24,DWSRF,1103833905,25277796.42,STAG—Drinking Water State Revolving Fund,13295848,23967848,-1309948.425,-0.051822097,Negative,WA
West Virginia,4661000,0.01,FY24,DWSRF,1103833905,11038339.05,STAG—Drinking Water State Revolving Fund,6922000,11583000,544660.95,0.049342655,Positive,WV
Wisconsin,7980000,0.0171,FY24,DWSRF,1103833905,18875559.78,STAG—Drinking Water State Revolving Fund,13319504,21299504,2423944.225,0.128417078,Positive,WI
Wyoming,4661000,0.01,FY24,DWSRF,1103833905,11038339.05,NA,0,4661000,-6377339.05,-0.577744443,Negative,WY
Alabama,9221000,0.011181795,FY24,CWSRF,1619480267,18108696.05,STAG—Clean Water State Revolving Fund,1.30E+07,22221000,4112303.954,0.227090009,Positive,AL
Alaska,4935000,0.005984401,FY24,CWSRF,1619480267,9691618.586,STAG—Clean Water State Revolving Fund,7697000,12632000,2940381.414,0.303394256,Positive,AK
Arizona,5570000,0.00675443,FY24,CWSRF,1619480267,10938665.76,STAG—Clean Water State Revolving Fund,3769504,9339504,-1599161.76,-0.146193493,Negative,AZ
Arkansas,5394000,0.006541004,FY24,CWSRF,1619480267,10593027.49,STAG—Clean Water State Revolving Fund,21500000,26894000,16300972.51,1.53883982,Positive,AR
California,58976000,0.071516921,FY24,CWSRF,1619480267,115820242.7,STAG—Clean Water State Revolving Fund,54499488,113475488,-2344754.707,-0.020244775,Negative,CA
Colorado,6596000,0.007998603,FY24,CWSRF,1619480267,12953579.78,STAG—Clean Water State Revolving Fund,4259752,10855752,-2097827.776,-0.161949655,Negative,CO
Connecticut,10102000,0.012250135,FY24,CWSRF,1619480267,19838851.26,STAG—Clean Water State Revolving Fund,10720760,20822760,983908.7415,0.049595046,Positive,CT
Delaware,4048000,0.004908785,FY24,CWSRF,1619480267,7949680.251,STAG—Clean Water State Revolving Fund,6225000,10273000,2323319.749,0.292253232,Positive,DE
Florida,27835000,0.033753959,FY24,CWSRF,1619480267,54663870.99,STAG—Clean Water State Revolving Fund,33750914,61585914,6922043.006,0.126629214,Positive,FL
Georgia,13942000,0.016906689,FY24,CWSRF,1619480267,27380049.92,STAG—Clean Water State Revolving Fund,19205807,33147807,5767757.085,0.210655463,Positive,GA
Hawaii,6387000,0.00774516,FY24,CWSRF,1619480267,12543134.33,STAG—Clean Water State Revolving Fund,4835000,11222000,-1321134.329,-0.105327289,Negative,HI
Idaho,4048000,0.004908785,FY24,CWSRF,1619480267,7949680.251,STAG—Clean Water State Revolving Fund,6750543,10798543,2848862.749,0.358361929,Positive,ID
Illinois,37295000,0.045225576,FY24,CWSRF,1619480267,73241928.1,STAG—Clean Water State Revolving Fund,19727282,57022282,-16219646.1,-0.221453019,Negative,IL
Indiana,19873000,0.024098884,FY24,CWSRF,1619480267,39027666.9,STAG—Clean Water State Revolving Fund,1919504,21792504,-17235162.9,-0.44161397,Negative,IN
Iowa,11160000,0.013533112,FY24,CWSRF,1619480267,21916608.6,STAG—Clean Water State Revolving Fund,3750000,14910000,-7006608.597,-0.319694015,Negative,IA
Kansas,7443000,0.009025713,FY24,CWSRF,1619480267,14616963.96,STAG—Clean Water State Revolving Fund,2468752,9911752,-4705211.959,-0.32190077,Negative,KS
Kentucky,10495000,0.012726704,FY24,CWSRF,1619480267,20610645.81,STAG—Clean Water State Revolving Fund,14709752,25204752,4594106.191,0.222899672,Positive,KY
Louisiana,9065000,0.010992622,FY24,CWSRF,1619480267,17802334.85,STAG—Clean Water State Revolving Fund,3400000,12465000,-5337334.85,-0.299810946,Negative,LA
Maine,6383000,0.00774031,FY24,CWSRF,1619480267,12535278.91,STAG—Clean Water State Revolving Fund,44665514,51048514,38513235.09,3.072387567,Positive,ME
Maryland,19944000,0.024184982,FY24,CWSRF,1619480267,39167100.52,STAG—Clean Water State Revolving Fund,13835000,33779000,-5388100.525,-0.137567,Negative,MD
Massachusetts,27997000,0.033950408,FY24,CWSRF,1619480267,54982015.31,STAG—Clean Water State Revolving Fund,21267029,49264029,-5717986.312,-0.103997394,Negative,MA
Michigan,35457000,0.042996736,FY24,CWSRF,1619480267,69632364.79,STAG—Clean Water State Revolving Fund,30410416,65867416,-3764948.787,-0.054068949,Negative,MI
Minnesota,15156000,0.01837884,FY24,CWSRF,1619480267,29764168.45,STAG—Clean Water State Revolving Fund,19927612,35083612,5319443.551,0.17871971,Positive,MN
Mississippi,7429000,0.009008736,FY24,CWSRF,1619480267,14589470.01,STAG—Clean Water State Revolving Fund,28398000,35827000,21237529.99,1.455675222,Positive,MS
Missouri,22860000,0.027721053,FY24,CWSRF,1619480267,44893698.25,STAG—Clean Water State Revolving Fund,2.00E+06,24860000,-20033698.25,-0.446247447,Negative,MO
Montana,4048000,0.004908785,FY24,CWSRF,1619480267,7949680.251,NA,0,4048000,-3901680.251,-0.49079713,Negative,MT
Nebraska,4218000,0.005114934,FY24,CWSRF,1619480267,8283535.4,STAG—Clean Water State Revolving Fund,10590240,14808240,6524704.6,0.787671481,Positive,NE
Nevada,4048000,0.004908785,FY24,CWSRF,1619480267,7949680.251,STAG—Clean Water State Revolving Fund,16916509,20964509,13014828.75,1.637151223,Positive,NV
New Hampshire,8241000,0.009993403,FY24,CWSRF,1619480267,16184119.31,STAG—Clean Water State Revolving Fund,3955000,12196000,-3988119.305,-0.246421769,Negative,NH
New Jersey,33697000,0.040862481,FY24,CWSRF,1619480267,66175982.07,STAG—Clean Water State Revolving Fund,29597753,63294753,-2881229.069,-0.043538894,Negative,NJ
New Mexico,4048000,0.004908785,FY24,CWSRF,1619480267,7949680.251,STAG—Clean Water State Revolving Fund,7189008,11237008,3287327.749,0.413516977,Positive,NM
New York,91023000,0.110378539,FY24,CWSRF,1619480267,178755866,STAG—Clean Water State Revolving Fund,51350304,142373304,-36382561.98,-0.203532129,Negative,NY
North Carolina,14882000,0.018046575,FY24,CWSRF,1619480267,29226072.5,STAG—Clean Water State Revolving Fund,16597768,31479768,2253695.497,0.077112499,Positive,NC
North Dakota,4048000,0.004908785,FY24,CWSRF,1619480267,7949680.251,NA,0,4048000,-3901680.251,-0.49079713,Negative,ND
Ohio,46422000,0.056293382,FY24,CWSRF,1619480267,91166021.89,STAG—Clean Water State Revolving Fund,43454478,89876478,-1289543.889,-0.014145006,Negative,OH
Oklahoma,6662000,0.008078638,FY24,CWSRF,1619480267,13083194.13,STAG—Clean Water State Revolving Fund,12149000,18811000,5727805.872,0.437798737,Positive,OK
Oregon,9315000,0.011295783,FY24,CWSRF,1619480267,18293298.3,STAG—Clean Water State Revolving Fund,20079504,29394504,11101205.7,0.606845497,Positive,OR
Pennsylvania,32664000,0.03960982,FY24,CWSRF,1619480267,64147321.08,STAG—Clean Water State Revolving Fund,16877276,49541276,-14606045.08,-0.227695324,Negative,PA
Rhode Island,5537000,0.006714413,FY24,CWSRF,1619480267,10873858.58,STAG—Clean Water State Revolving Fund,10866031,16403031,5529172.416,0.508483017,Positive,RI
South Carolina,8448000,0.010244421,FY24,CWSRF,1619480267,16590637.05,STAG—Clean Water State Revolving Fund,14740000,23188000,6597362.955,0.397655794,Positive,SC
South Dakota,4048000,0.004908785,FY24,CWSRF,1619480267,7949680.251,STAG—Clean Water State Revolving Fund,23600000,27648000,19698319.75,2.477875729,Positive,SD
Tennessee,11979000,0.014526268,FY24,CWSRF,1619480267,23525004.87,STAG—Clean Water State Revolving Fund,1.00E+06,12979000,-10546004.87,-0.448289168,Negative,TN
Texas,37690000,0.045704571,FY24,CWSRF,1619480267,74017650.36,STAG—Clean Water State Revolving Fund,29992264,67682264,-6335386.36,-0.085592914,Negative,TX
Utah,4345000,0.00526894,FY24,CWSRF,1619480267,8532944.835,STAG—Clean Water State Revolving Fund,750000,5095000,-3437944.835,-0.402902503,Negative,UT
Vermont,4048000,0.004908785,FY24,CWSRF,1619480267,7949680.251,STAG—Clean Water State Revolving Fund,4080000,8128000,178319.7491,0.022431059,Positive,VT
Virginia,16876000,0.020464588,FY24,CWSRF,1619480267,33141997.01,STAG—Clean Water State Revolving Fund,15464013,32340013,-801984.0143,-0.024198422,Negative,VA
Washington,14340000,0.017389322,FY24,CWSRF,1619480267,28161663.73,STAG—Clean Water State Revolving Fund,32389365,46729365,18567701.27,0.659325438,Positive,WA
West Virginia,12855000,0.015588545,FY24,CWSRF,1619480267,25245340.82,STAG—Clean Water State Revolving Fund,22772000,35627000,10381659.18,0.4112307,Positive,WV
Wisconsin,22293000,0.027033484,FY24,CWSRF,1619480267,43780193.14,STAG—Clean Water State Revolving Fund,8629621,30922621,-12857572.14,-0.293684683,Negative,WI
Wyoming,4048000,0.004908785,FY24,CWSRF,1619480267,7949680.251,NA,0,4048000,-3901680.251,-0.49079713,Negative,WY
