state,allotment,pct,fy,program,base_total,hypothetical,account,total_earmarks,actual_total,difference,diff_as_pct,bar_color,state_abbr
Nebraska,3876000,0.005115231,FY23,CWSRF,1620845642,8291000.319,NA,0,3876000,-4415000.319,-0.532505144,Negative,NE
Nevada,3720000,0.004909355,FY23,CWSRF,1620845642,7957306.807,STAG—Clean Water State Revolving Fund,18269600,21989600,14032293.19,1.76344755,Positive,NV
New Hampshire,7572000,0.009992913,FY23,CWSRF,1620845642,16196969.66,STAG—Clean Water State Revolving Fund,9935000,17507000,1310030.337,0.0808812,Positive,NH
New Jersey,30963000,0.040862463,FY23,CWSRF,1620845642,66231744.8,STAG—Clean Water State Revolving Fund,28126818,59089818,-7141926.805,-0.107832382,Negative,NJ
New Mexico,3720000,0.004909355,FY23,CWSRF,1620845642,7957306.807,STAG—Clean Water State Revolving Fund,13952000,17672000,9714693.193,1.220851907,Positive,NM
New York,83628000,0.11036547,FY23,CWSRF,1620845642,178885390.8,STAG—Clean Water State Revolving Fund,63646193,147274193,-31611197.77,-0.176712015,Negative,NY
North Carolina,13675000,0.018047159,FY23,CWSRF,1620845642,29251658.76,STAG—Clean Water State Revolving Fund,17285839,30960839,1709180.239,0.058430199,Positive,NC
North Dakota,3720000,0.004909355,FY23,CWSRF,1620845642,7957306.807,NA,0,3720000,-4237306.807,-0.532505144,Negative,ND
Ohio,42656000,0.056293938,FY23,CWSRF,1620845642,91243784.72,STAG—Clean Water State Revolving Fund,36334946,78990946,-12252838.72,-0.134286831,Negative,OH
Oklahoma,6122000,0.00807932,FY23,CWSRF,1620845642,13095331.26,STAG—Clean Water State Revolving Fund,10936000,17058000,3962668.743,0.302601642,Positive,OK
Oregon,8559000,0.011295476,FY23,CWSRF,1620845642,18308222.84,STAG—Clean Water State Revolving Fund,15952950,24511950,6203727.16,0.338849227,Positive,OR
Pennsylvania,30014000,0.039610049,FY23,CWSRF,1620845642,64201775.94,STAG—Clean Water State Revolving Fund,28517287,58531287,-5670488.945,-0.08832293,Negative,PA
Rhode Island,5088000,0.006714731,FY23,CWSRF,1620845642,10883542.21,STAG—Clean Water State Revolving Fund,10828000,15916000,5032457.786,0.462391535,Positive,RI
South Carolina,7762000,0.01024366,FY23,CWSRF,1620845642,16603391.25,STAG—Clean Water State Revolving Fund,19523000,27285000,10681608.75,0.643338978,Positive,SC
South Dakota,3720000,0.004909355,FY23,CWSRF,1620845642,7957306.807,NA,0,3720000,-4237306.807,-0.532505144,Negative,SD
Tennessee,11007000,0.014526148,FY23,CWSRF,1620845642,23544644.09,STAG—Clean Water State Revolving Fund,4122800,15129800,-8414844.094,-0.357399503,Negative,TN
Texas,34632000,0.045704512,FY23,CWSRF,1620845642,74079959.5,STAG—Clean Water State Revolving Fund,36401584,71033584,-3046375.503,-0.041122802,Negative,TX
Utah,3992000,0.005268319,FY23,CWSRF,1620845642,8539131.391,STAG—Clean Water State Revolving Fund,12500000,16492000,7952868.609,0.931343979,Positive,UT
Vermont,3720000,0.004909355,FY23,CWSRF,1620845642,7957306.807,STAG—Clean Water State Revolving Fund,1920000,5640000,-2317306.807,-0.291217476,Negative,VT
Virginia,15507000,0.020464884,FY23,CWSRF,1620845642,33170418.46,STAG—Clean Water State Revolving Fund,6760000,22267000,-10903418.46,-0.328709102,Negative,VA
Washington,13177000,0.017389939,FY23,CWSRF,1620845642,28186406.4,STAG—Clean Water State Revolving Fund,16054632,29231632,1045225.602,0.037082613,Positive,WA
West Virginia,11812000,0.015588522,FY23,CWSRF,1620845642,25266588.17,STAG—Clean Water State Revolving Fund,25139000,36951000,11684411.83,0.462445176,Positive,WV
Wisconsin,20484000,0.027033126,FY23,CWSRF,1620845642,43816524.9,STAG—Clean Water State Revolving Fund,4423400,24907400,-18909124.9,-0.431552364,Negative,WI
Wyoming,3720000,0.004909355,FY23,CWSRF,1620845642,7957306.807,NA,0,3720000,-4237306.807,-0.532505144,Negative,WY
Alabama,8229000,0.0177,FY24,DWSRF,1103833905,19537860.12,STAG—Drinking Water State Revolving Fund,14778752,23007752,3469891.882,0.177598358,Positive,AL
Alaska,4661000,0.01,FY24,DWSRF,1103833905,11038339.05,STAG—Drinking Water State Revolving Fund,23200000,27861000,16822660.95,1.524021039,Positive,AK
Arizona,8153000,0.0175,FY24,DWSRF,1103833905,19317093.34,STAG—Drinking Water State Revolving Fund,16948760,25101760,5784666.663,0.299458441,Positive,AZ
Arkansas,5580000,0.012,FY24,DWSRF,1103833905,13246006.86,STAG—Drinking Water State Revolving Fund,1.30E+07,18580000,5333993.14,0.402686877,Positive,AR
California,50283000,0.1079,FY24,DWSRF,1103833905,119103678.3,STAG—Drinking Water State Revolving Fund,55114604,105397604,-13706074.35,-0.115076835,Negative,CA
