"state","allotment","pct","fy","program","base_total","hypothetical","account","total_earmarks","state_abbr","actual_total","difference","diff_as_pct","bar_color"
"West Virginia",4661000,0.01,"FY24","DWSRF",1103833905,11038339.05,"STAG—Drinking Water State Revolving Fund",6922000,"WV",11583000,544660.949999999,0.0493426545001804,"Positive"
"Wisconsin",7980000,0.0171,"FY24","DWSRF",1103833905,18875559.7755,"STAG—Drinking Water State Revolving Fund",13319504,"WI",21299504,2423944.2245,0.128417077603506,"Positive"
"Wyoming",4661000,0.01,"FY24","DWSRF",1103833905,11038339.05,NA,0,"WY",4661000,-6377339.05,-0.577744443354456,"Negative"
"Alabama",9221000,0.0111817948108517,"FY24","CWSRF",1619480267,18108696.0458173,"STAG—Clean Water State Revolving Fund",1.3e+07,"AL",22221000,4112303.95418265,0.227090009340153,"Positive"
"Alaska",4935000,0.0059844005413245,"FY24","CWSRF",1619480267,9691618.58649914,"STAG—Clean Water State Revolving Fund",7697000,"AK",12632000,2940381.41350086,0.303394256311009,"Positive"
"Arizona",5570000,0.00675442979030952,"FY24","CWSRF",1619480267,10938665.7602432,"STAG—Clean Water State Revolving Fund",3769504,"AZ",9339504,-1599161.76024321,-0.146193493365104,"Negative"
"Arkansas",5394000,0.00654100436066957,"FY24","CWSRF",1619480267,10593027.4884653,"STAG—Clean Water State Revolving Fund",21500000,"AR",26894000,16300972.5115347,1.53883981980455,"Positive"
"California",58976000,0.0715169212411659,"FY24","CWSRF",1619480267,115820242.706661,"STAG—Clean Water State Revolving Fund",54499488,"CA",113475488,-2344754.70666131,-0.020244774590914,"Negative"
"Colorado",6596000,0.00799860303355145,"FY24","CWSRF",1619480267,12953579.7764029,"STAG—Clean Water State Revolving Fund",4259752,"CO",10855752,-2097827.77640291,-0.161949655046279,"Negative"
"Connecticut",10102000,0.012250134603538,"FY24","CWSRF",1619480267,19838851.2585237,"STAG—Clean Water State Revolving Fund",10720760,"CT",20822760,983908.74147632,0.0495950460364275,"Positive"
"Delaware",4048000,0.00490878488171866,"FY24","CWSRF",1619480267,7949680.25089129,"STAG—Clean Water State Revolving Fund",6225000,"DE",10273000,2323319.74910871,0.292253232304308,"Positive"
"Florida",27835000,0.0337539592842487,"FY24","CWSRF",1619480267,54663870.9939622,"STAG—Clean Water State Revolving Fund",33750914,"FL",61585914,6922043.00603776,0.126629213778189,"Positive"
"Georgia",13942000,0.0169066894320458,"FY24","CWSRF",1619480267,27380049.9154957,"STAG—Clean Water State Revolving Fund",19205807,"GA",33147807,5767757.08450434,0.210655462729456,"Positive"
"Hawaii",6387000,0.00774516033585402,"FY24","CWSRF",1619480267,12543134.3286667,"STAG—Clean Water State Revolving Fund",4835000,"HI",11222000,-1321134.32866667,-0.105327288542808,"Negative"
"Idaho",4048000,0.00490878488171866,"FY24","CWSRF",1619480267,7949680.25089129,"STAG—Clean Water State Revolving Fund",6750543,"ID",10798543,2848862.74910871,0.35836192893284,"Positive"
"Illinois",37295000,0.0452255761273956,"FY24","CWSRF",1619480267,73241928.1020234,"STAG—Clean Water State Revolving Fund",19727282,"IL",57022282,-16219646.1020234,-0.221453019088056,"Negative"
"Indiana",19873000,0.0240988838820145,"FY24","CWSRF",1619480267,39027666.9036469,"STAG—Clean Water State Revolving Fund",1919504,"IN",21792504,-17235162.9036469,-0.441613969551339,"Negative"
"Iowa",11160000,0.0135331124703508,"FY24","CWSRF",1619480267,21916608.5968248,"STAG—Clean Water State Revolving Fund",3750000,"IA",14910000,-7006608.59682481,-0.319694014969081,"Negative"
"Kansas",7443000,0.00902571291369367,"FY24","CWSRF",1619480267,14616963.959334,"STAG—Clean Water State Revolving Fund",2468752,"KS",9911752,-4705211.95933397,-0.321900770394207,"Negative"
"Kentucky",10495000,0.0127267038867681,"FY24","CWSRF",1619480267,20610645.8085732,"STAG—Clean Water State Revolving Fund",14709752,"KY",25204752,4594106.19142684,0.222899672047922,"Positive"
"Louisiana",9065000,0.0109926222709436,"FY24","CWSRF",1619480267,17802334.8503779,"STAG—Clean Water State Revolving Fund",3400000,"LA",12465000,-5337334.85037786,-0.299810945880763,"Negative"
"Maine",6383000,0.00774030975790765,"FY24","CWSRF",1619480267,12535278.913399,"STAG—Clean Water State Revolving Fund",44665514,"ME",51048514,38513235.086601,3.07238756733479,"Positive"
"Maryland",19944000,0.0241849816405625,"FY24","CWSRF",1619480267,39167100.5246482,"STAG—Clean Water State Revolving Fund",13835000,"MD",33779000,-5388100.52464821,-0.13756700017295,"Negative"
"Massachusetts",27997000,0.0339504076910764,"FY24","CWSRF",1619480267,54982015.3123033,"STAG—Clean Water State Revolving Fund",21267029,"MA",49264029,-5717986.31230325,-0.103997394053756,"Negative"
"Michigan",35457000,0.0429967355610421,"FY24","CWSRF",1619480267,69632364.7865248,"STAG—Clean Water State Revolving Fund",30410416,"MI",65867416,-3764948.78652485,-0.0540689490880746,"Negative"
"Minnesota",15156000,0.0183788398387668,"FY24","CWSRF",1619480267,29764168.4492363,"STAG—Clean Water State Revolving Fund",19927612,"MN",35083612,5319443.55076372,0.17871970990341,"Positive"
"Mississippi",7429000,0.0090087358908814,"FY24","CWSRF",1619480267,14589470.0058971,"STAG—Clean Water State Revolving Fund",28398000,"MS",35827000,21237529.9941029,1.45567522230202,"Positive"
"Missouri",22860000,0.0277210529634606,"FY24","CWSRF",1619480267,44893698.2547863,"STAG—Clean Water State Revolving Fund",2e+06,"MO",24860000,-20033698.2547863,-0.446247447494492,"Negative"
"Montana",4048000,0.00490878488171866,"FY24","CWSRF",1619480267,7949680.25089129,NA,0,"MT",4048000,-3901680.25089129,-0.490797129916496,"Negative"
"Nebraska",4218000,0.00511493444443905,"FY24","CWSRF",1619480267,8283535.39976766,"STAG—Clean Water State Revolving Fund",10590240,"NE",14808240,6524704.60023234,0.787671481480643,"Positive"
"Nevada",4048000,0.00490878488171866,"FY24","CWSRF",1619480267,7949680.25089129,"STAG—Clean Water State Revolving Fund",16916509,"NV",20964509,13014828.7491087,1.63715122349097,"Positive"
"New Hampshire",8241000,0.00999340321399295,"FY24","CWSRF",1619480267,16184119.305236,"STAG—Clean Water State Revolving Fund",3955000,"NH",12196000,-3988119.30523596,-0.246421768773399,"Negative"
"New Jersey",33697000,0.0408624812646427,"FY24","CWSRF",1619480267,66175982.068746,"STAG—Clean Water State Revolving Fund",29597753,"NJ",63294753,-2881229.06874603,-0.0435388940016471,"Negative"
"New Mexico",4048000,0.00490878488171866,"FY24","CWSRF",1619480267,7949680.25089129,"STAG—Clean Water State Revolving Fund",7189008,"NM",11237008,3287327.74910871,0.413516977458325,"Positive"
"New York",91023000,0.110378539102934,"FY24","CWSRF",1619480267,178755865.97749,"STAG—Clean Water State Revolving Fund",51350304,"NY",142373304,-36382561.9774897,-0.203532129021552,"Negative"
"North Carolina",14882000,0.018046575249441,"FY24","CWSRF",1619480267,29226072.5034003,"STAG—Clean Water State Revolving Fund",16597768,"NC",31479768,2253695.49659975,0.0771124993389907,"Positive"
"North Dakota",4048000,0.00490878488171866,"FY24","CWSRF",1619480267,7949680.25089129,NA,0,"ND",4048000,-3901680.25089129,-0.490797129916496,"Negative"
"Ohio",46422000,0.0562933823565078,"FY24","CWSRF",1619480267,91166021.8890503,"STAG—Clean Water State Revolving Fund",43454478,"OH",89876478,-1289543.8890503,-0.0141450055879337,"Negative"
"Oklahoma",6662000,0.00807863756966643,"FY24","CWSRF",1619480267,13083194.1283196,"STAG—Clean Water State Revolving Fund",12149000,"OK",18811000,5727805.87168038,0.437798737487361,"Positive"
"Oregon",9315000,0.0112957833925912,"FY24","CWSRF",1619480267,18293298.3046078,"STAG—Clean Water State Revolving Fund",20079504,"OR",29394504,11101205.6953922,0.60684549667,"Positive"
"Pennsylvania",32664000,0.0396098195099946,"FY24","CWSRF",1619480267,64147321.0758679,"STAG—Clean Water State Revolving Fund",16877276,"PA",49541276,-14606045.0758679,-0.227695324308136,"Negative"
"Puerto Rico",10755000,0.0130419914532817,"FY24","CWSRF",1619480267,21121247.8009723,NA,0,NA,10755000,-10366247.8009723,-0.490797129916496,"Negative"
"Rhode Island",5537000,0.00671441252225203,"FY24","CWSRF",1619480267,10873858.5842849,"STAG—Clean Water State Revolving Fund",10866031,"RI",16403031,5529172.41571514,0.508483016664023,"Positive"
"South Carolina",8448000,0.0102444206227172,"FY24","CWSRF",1619480267,16590637.0453384,"STAG—Clean Water State Revolving Fund",14740000,"SC",23188000,6597362.95466165,0.397655794447952,"Positive"
"South Dakota",4048000,0.00490878488171866,"FY24","CWSRF",1619480267,7949680.25089129,"STAG—Clean Water State Revolving Fund",23600000,"SD",27648000,19698319.7491087,2.47787572926599,"Positive"
"Tennessee",11979000,0.0145262683048685,"FY24","CWSRF",1619480267,23525004.8728821,"STAG—Clean Water State Revolving Fund",1e+06,"TN",12979000,-10546004.8728821,-0.448289168477018,"Negative"
"Texas",37690000,0.0457045706995989,"FY24","CWSRF",1619480267,74017650.3597067,"STAG—Clean Water State Revolving Fund",29992264,"TX",67682264,-6335386.35970673,-0.0855929137025883,"Negative"
"Utah",4345000,0.00526894029423606,"FY24","CWSRF",1619480267,8532944.83451647,"STAG—Clean Water State Revolving Fund",750000,"UT",5095000,-3437944.83451647,-0.402902503319803,"Negative"
"Vermont",4048000,0.00490878488171866,"FY24","CWSRF",1619480267,7949680.25089129,"STAG—Clean Water State Revolving Fund",4080000,"VT",8128000,178319.749108707,0.0224310592981037,"Positive"
"Virginia",16876000,0.0204645883557026,"FY24","CWSRF",1619480267,33141997.0143383,"STAG—Clean Water State Revolving Fund",15464013,"VA",32340013,-801984.014338307,-0.0241984215372219,"Negative"
"Washington",14340000,0.0173893219377089,"FY24","CWSRF",1619480267,28161663.7346297,"STAG—Clean Water State Revolving Fund",32389365,"WA",46729365,18567701.2653703,0.659325437599697,"Positive"
"West Virginia",12855000,0.0155885448751219,"FY24","CWSRF",1619480267,25245340.8165038,"STAG—Clean Water State Revolving Fund",22772000,"WV",35627000,10381659.1834962,0.411230700308441,"Positive"
"Wisconsin",22293000,0.0270334835395637,"FY24","CWSRF",1619480267,43780193.1405928,"STAG—Clean Water State Revolving Fund",8629621,"WI",30922621,-12857572.1405928,-0.293684682918205,"Negative"
"Wyoming",4048000,0.00490878488171866,"FY24","CWSRF",1619480267,7949680.25089129,NA,0,"WY",4048000,-3901680.25089129,-0.490797129916496,"Negative"
"Alabama",19257000,0.0177,"FY25","DWSRF",1090579000,19303248.3,NA,0,"AL",19257000,-46248.3000000007,-0.00239588173354226,"Negative"
"Alaska",10906000,0.01,"FY25","DWSRF",1090579000,10905790,NA,0,"AK",10906000,210,1.92558264921661e-05,"Positive"
"Arizona",19079000,0.0175,"FY25","DWSRF",1090579000,19085132.5,NA,0,"AZ",19079000,-6132.5,-0.000321323417586962,"Negative"
"Arkansas",13058000,0.012,"FY25","DWSRF",1090579000,13086948,NA,0,"AR",13058000,-28948,-0.00221197486228263,"Negative"
"California",117662000,0.1079,"FY25","DWSRF",1090579000,117673474.1,NA,0,"CA",117662000,-11474.099999994,-9.75079565530907e-05,"Negative"
"Colorado",19105000,0.0175,"FY25","DWSRF",1090579000,19085132.5,NA,0,"CO",19105000,19867.5,0.00104099355872955,"Positive"
"Connecticut",10906000,0.01,"FY25","DWSRF",1090579000,10905790,NA,0,"CT",10906000,210,1.92558264921661e-05,"Positive"
"Delaware",10906000,0.01,"FY25","DWSRF",1090579000,10905790,NA,0,"DE",10906000,210,1.92558264921661e-05,"Positive"
"Florida",39357000,0.0361,"FY25","DWSRF",1090579000,39369901.9,NA,0,"FL",39357000,-12901.8999999985,-0.000327709731986874,"Negative"
"Georgia",29571000,0.0271,"FY25","DWSRF",1090579000,29554690.9,NA,0,"GA",29571000,16309.1000000015,0.000551827798002837,"Positive"
"Hawaii",10906000,0.01,"FY25","DWSRF",1090579000,10905790,NA,0,"HI",10906000,210,1.92558264921661e-05,"Positive"
"Idaho",10906000,0.01,"FY25","DWSRF",1090579000,10905790,NA,0,"ID",10906000,210,1.92558264921661e-05,"Positive"
"Illinois",33096000,0.0303,"FY25","DWSRF",1090579000,33044543.7,NA,0,"IL",33096000,51456.3000000007,0.00155717992256618,"Positive"
"Indiana",18713000,0.0172,"FY25","DWSRF",1090579000,18757958.8,NA,0,"IN",18713000,-44958.8000000007,-0.00239678530480623,"Negative"
"Iowa",16397000,0.015,"FY25","DWSRF",1090579000,16358685,NA,0,"IA",16397000,38315,0.00234218092713442,"Positive"
"Kansas",12163000,0.0112,"FY25","DWSRF",1090579000,12214484.8,NA,0,"KS",12163000,-51484.8000000007,-0.00421506112153013,"Negative"
"Kentucky",13277000,0.0122,"FY25","DWSRF",1090579000,13305063.8,NA,0,"KY",13277000,-28063.8000000007,-0.00210925707849674,"Negative"
"Louisiana",14889000,0.0137,"FY25","DWSRF",1090579000,14940932.3,NA,0,"LA",14889000,-51932.3000000007,-0.00347584066089375,"Negative"
"Maine",10906000,0.01,"FY25","DWSRF",1090579000,10905790,NA,0,"ME",10906000,210,1.92558264921661e-05,"Positive"
"Maryland",22660000,0.0208,"FY25","DWSRF",1090579000,22684043.2,NA,0,"MD",22660000,-24043.1999999993,-0.0010599168670248,"Negative"
"Massachusetts",23415000,0.0215,"FY25","DWSRF",1090579000,23447448.5,NA,0,"MA",23415000,-32448.4999999963,-0.00138388191789807,"Negative"
"Michigan",24884000,0.0228,"FY25","DWSRF",1090579000,24865201.2,NA,0,"MI",24884000,18798.8000000007,0.00075602846921668,"Positive"
"Minnesota",16497000,0.0151,"FY25","DWSRF",1090579000,16467742.9,NA,0,"MN",16497000,29257.0999999996,0.00177663084599163,"Positive"
"Mississippi",13658000,0.0125,"FY25","DWSRF",1090579000,13632237.5,NA,0,"MS",13658000,25762.5,0.0018898218285883,"Positive"
"Missouri",17755000,0.0163,"FY25","DWSRF",1090579000,17776437.7,NA,0,"MO",17755000,-21437.6999999993,-0.00120596152962634,"Negative"
"Montana",10906000,0.01,"FY25","DWSRF",1090579000,10905790,NA,0,"MT",10906000,210,1.92558264921661e-05,"Positive"
"Nebraska",10906000,0.01,"FY25","DWSRF",1090579000,10905790,NA,0,"NE",10906000,210,1.92558264921661e-05,"Positive"
"Nevada",11307000,0.0104,"FY25","DWSRF",1090579000,11342021.6,NA,0,"NV",11307000,-35021.5999999996,-0.00308777405255511,"Negative"
"New Hampshire",10906000,0.01,"FY25","DWSRF",1090579000,10905790,NA,0,"NH",10906000,210,1.92558264921661e-05,"Positive"
"New Jersey",19360000,0.0178,"FY25","DWSRF",1090579000,19412306.2,NA,0,"NJ",19360000,-52306.1999999993,-0.00269448665506828,"Negative"
"New Mexico",10906000,0.01,"FY25","DWSRF",1090579000,10905790,NA,0,"NM",10906000,210,1.92558264921661e-05,"Positive"
"New York",50941000,0.0467,"FY25","DWSRF",1090579000,50930039.3,NA,0,"NY",50941000,10960.700000003,0.000215210907956299,"Positive"
"North Carolina",30053000,0.0276,"FY25","DWSRF",1090579000,30099980.4,NA,0,"NC",30053000,-46980.3999999985,-0.00156081164757165,"Negative"
"North Dakota",10906000,0.01,"FY25","DWSRF",1090579000,10905790,NA,0,"ND",10906000,210,1.92558264921661e-05,"Positive"
"Ohio",24628000,0.0226,"FY25","DWSRF",1090579000,24647085.4,NA,0,"OH",24628000,-19085.3999999985,-0.000774347136396035,"Negative"
"Oklahoma",15851000,0.0145,"FY25","DWSRF",1090579000,15813395.5,NA,0,"OK",15851000,37604.5,0.00237801552487573,"Positive"
"Oregon",16405000,0.015,"FY25","DWSRF",1090579000,16358685,NA,0,"OR",16405000,46315,0.00283121779042753,"Positive"
"Pennsylvania",35979000,0.033,"FY25","DWSRF",1090579000,35989107,NA,0,"PA",35979000,-10107,-0.00028083497598315,"Negative"
"Puerto Rico",10906000,0.01,"FY25","DWSRF",1090579000,10905790,NA,0,NA,10906000,210,1.92558264921661e-05,"Positive"
"Rhode Island",10906000,0.01,"FY25","DWSRF",1090579000,10905790,NA,0,"RI",10906000,210,1.92558264921661e-05,"Positive"
"South Carolina",13631000,0.0125,"FY25","DWSRF",1090579000,13632237.5,NA,0,"SC",13631000,-1237.5,-9.0777467748783e-05,"Negative"
"South Dakota",10906000,0.01,"FY25","DWSRF",1090579000,10905790,NA,0,"SD",10906000,210,1.92558264921661e-05,"Positive"
"Tennessee",18359000,0.0168,"FY25","DWSRF",1090579000,18321727.2,NA,0,"TN",18359000,37272.8000000007,0.00203434968729371,"Positive"
"Texas",86951000,0.0797,"FY25","DWSRF",1090579000,86919146.3,NA,0,"TX",86951000,31853.700000003,0.000366475067415647,"Positive"
"Utah",10906000,0.01,"FY25","DWSRF",1090579000,10905790,NA,0,"UT",10906000,210,1.92558264921661e-05,"Positive"
"Vermont",10906000,0.01,"FY25","DWSRF",1090579000,10905790,NA,0,"VT",10906000,210,1.92558264921661e-05,"Positive"
"Virginia",15400000,0.0141,"FY25","DWSRF",1090579000,15377163.9,NA,0,"VA",15400000,22836.0999999996,0.0014850657864159,"Positive"
"Washington",24974000,0.0229,"FY25","DWSRF",1090579000,24974259.1,NA,0,"WA",24974000,-259.10000000149,-1.0374682146286e-05,"Negative"
"West Virginia",10906000,0.01,"FY25","DWSRF",1090579000,10905790,NA,0,"WV",10906000,210,1.92558264921661e-05,"Positive"
"Wisconsin",18674000,0.0171,"FY25","DWSRF",1090579000,18648900.9,NA,0,"WI",18674000,25099.0999999978,0.00134587556310076,"Positive"
"Wyoming",10906000,0.01,"FY25","DWSRF",1090579000,10905790,NA,0,"WY",10906000,210,1.92558264921661e-05,"Positive"
"Alabama",17919000,0.011181317172766,"FY25","CWSRF",1602584000,17919000,NA,0,"AL",17919000,-2.98023223876953e-08,-1.66316883686005e-15,"Negative"
"Alaska",9591000,0.00598470969384444,"FY25","CWSRF",1602584000,9591000,NA,0,"AK",9591000,1.86264514923096e-09,1.94207606008858e-16,"Positive"
"Arizona",10824000,0.00675409214119198,"FY25","CWSRF",1602584000,10824000,NA,0,"AZ",10824000,-7.45058059692383e-09,-6.88338931718757e-16,"Negative"
"Arkansas",10483000,0.00654131078308532,"FY25","CWSRF",1602584000,10483000,NA,0,"AR",10483000,-5.58793544769287e-09,-5.3304735740655e-16,"Negative"
"California",114614000,0.0715182480294325,"FY25","CWSRF",1602584000,114614000,NA,0,"CA",114614000,-5.96046447753906e-08,-5.2004680733061e-16,"Negative"
"Colorado",12819000,0.0079989566849538,"FY25","CWSRF",1602584000,12819000,NA,0,"CO",12819000,0,0,"Negative"
"Connecticut",19632000,0.0122502159013194,"FY25","CWSRF",1602584000,19632000,NA,0,"CT",19632000,-4.84287738800049e-08,-2.46682833537107e-15,"Negative"
"Delaware",7867000,0.00490894705051342,"FY25","CWSRF",1602584000,7867000,NA,0,"DE",7867000,9.31322574615479e-10,1.18383446627111e-16,"Positive"
"Florida",54094000,0.0337542369073946,"FY25","CWSRF",1602584000,54094000.0000001,NA,0,"FL",54094000,-5.96046447753906e-08,-1.10187164519892e-15,"Negative"
"Georgia",27095000,0.0169070700818179,"FY25","CWSRF",1602584000,27095000.0000001,NA,0,"GA",27095000,-5.58793544769287e-08,-2.0623493071389e-15,"Negative"
"Hawaii",12412000,0.00774499183818134,"FY25","CWSRF",1602584000,12412000,NA,0,"HI",12412000,-3.72529029846191e-09,-3.00136182602474e-16,"Negative"
"Idaho",7867000,0.00490894705051342,"FY25","CWSRF",1602584000,7867000,NA,0,"ID",7867000,9.31322574615479e-10,1.18383446627111e-16,"Positive"
"Illinois",72478000,0.0452257104775787,"FY25","CWSRF",1602584000,72478000,NA,0,"IL",72478000,1.49011611938477e-08,2.05595645490323e-16,"Positive"
"Indiana",38621000,0.0240992047842734,"FY25","CWSRF",1602584000,38621000,NA,0,"IN",38621000,0,0,"Negative"
"Iowa",21689000,0.013533767964737,"FY25","CWSRF",1602584000,21689000.0000001,NA,0,"IA",21689000,-8.19563865661621e-08,-3.77870748149577e-15,"Negative"
"Kansas",14465000,0.00902604793258887,"FY25","CWSRF",1602584000,14465000,NA,0,"KS",14465000,-1.86264514923096e-09,-1.28769108139022e-16,"Negative"
"Kentucky",20396000,0.0127269459822387,"FY25","CWSRF",1602584000,20396000,NA,0,"KY",20396000,-2.60770320892334e-08,-1.27853658017422e-15,"Negative"
"Louisiana",17617000,0.0109928715125073,"FY25","CWSRF",1602584000,17617000,NA,0,"LA",17617000,0,0,"Negative"
"Maine",12405000,0.00774062389241375,"FY25","CWSRF",1602584000,12405000,NA,0,"ME",12405000,3.72529029846191e-09,3.00305546026757e-16,"Positive"
"Maryland",38759000,0.0241853157151201,"FY25","CWSRF",1602584000,38759000,NA,0,"MD",38759000,-2.98023223876953e-08,-7.68913604264694e-16,"Negative"
"Massachusetts",54410000,0.0339514184591884,"FY25","CWSRF",1602584000,54410000,NA,0,"MA",54410000,1.49011611938477e-08,2.73868060905122e-16,"Positive"
"Michigan",68906000,0.0429968101516052,"FY25","CWSRF",1602584000,68906000.0000001,NA,0,"MI",68906000,-5.96046447753906e-08,-8.65013856201065e-16,"Negative"
"Minnesota",29455000,0.0183796917977466,"FY25","CWSRF",1602584000,29454999.9999999,NA,0,"MN",29455000,5.96046447753906e-08,2.02358325497847e-15,"Positive"
"Mississippi",14438000,0.00900920014177104,"FY25","CWSRF",1602584000,14438000,NA,0,"MS",14438000,0,0,"Negative"
"Missouri",44425000,0.0277208558178542,"FY25","CWSRF",1602584000,44425000,NA,0,"MO",44425000,-5.21540641784668e-08,-1.17398006029188e-15,"Negative"
"Montana",7867000,0.00490894705051342,"FY25","CWSRF",1602584000,7867000,NA,0,"MT",7867000,9.31322574615479e-10,1.18383446627111e-16,"Positive"
"Nebraska",8197000,0.00511486449384244,"FY25","CWSRF",1602584000,8196999.99999999,NA,0,"NE",8197000,6.51925802230835e-09,7.95322437758735e-16,"Positive"
"Nevada",7867000,0.00490894705051342,"FY25","CWSRF",1602584000,7867000,NA,0,"NV",7867000,9.31322574615479e-10,1.18383446627111e-16,"Positive"
"New Hampshire",16015000,0.00999323592398277,"FY25","CWSRF",1602584000,16015000,NA,0,"NH",16015000,-3.72529029846191e-09,-2.32612569370085e-16,"Negative"
"New Jersey",65487000,0.040863380640266,"FY25","CWSRF",1602584000,65487000,NA,0,"NJ",65487000,-4.4703483581543e-08,-6.826314166406e-16,"Negative"
"New Mexico",7867000,0.00490894705051342,"FY25","CWSRF",1602584000,7867000,NA,0,"NM",7867000,9.31322574615479e-10,1.18383446627111e-16,"Positive"
"New York",176887000,0.110376117570124,"FY25","CWSRF",1602584000,176887000,NA,0,"NY",176887000,3.87430191040039e-07,2.19026944343021e-15,"Positive"
"North Carolina",28922000,0.0180471039271576,"FY25","CWSRF",1602584000,28921999.9999999,NA,0,"NC",28922000,6.70552253723145e-08,2.31848507614669e-15,"Positive"
"North Dakota",7867000,0.00490894705051342,"FY25","CWSRF",1602584000,7867000,NA,0,"ND",7867000,9.31322574615479e-10,1.18383446627111e-16,"Positive"
"Ohio",90217000,0.0562947090448925,"FY25","CWSRF",1602584000,90217000,NA,0,"OH",90217000,0,0,"Negative"
"Oklahoma",12947000,0.00807882769327536,"FY25","CWSRF",1602584000,12947000,NA,0,"OK",12947000,1.86264514923096e-09,1.43866930503665e-16,"Positive"
"Oregon",18103000,0.0112961317472282,"FY25","CWSRF",1602584000,18103000,NA,0,"OR",18103000,4.09781932830811e-08,2.26361339463521e-15,"Positive"
"Pennsylvania",63479000,0.0396104041972215,"FY25","CWSRF",1602584000,63479000,NA,0,"PA",63479000,-1.49011611938477e-08,-2.34741586884602e-16,"Negative"
"Rhode Island",10761000,0.00671478062928371,"FY25","CWSRF",1602584000,10761000,NA,0,"RI",10761000,-5.58793544769287e-09,-5.19276595826863e-16,"Negative"
"South Carolina",16417000,0.0102440808094927,"FY25","CWSRF",1602584000,16417000,NA,0,"SC",16417000,-4.84287738800049e-08,-2.94991617713375e-15,"Negative"
"South Dakota",7867000,0.00490894705051342,"FY25","CWSRF",1602584000,7867000,NA,0,"SD",7867000,9.31322574615479e-10,1.18383446627111e-16,"Positive"
"Tennessee",23280000,0.0145265396384838,"FY25","CWSRF",1602584000,23279999.9999999,NA,0,"TN",23280000,7.82310962677002e-08,3.3604422795404e-15,"Positive"
"Texas",73246000,0.0457049365275081,"FY25","CWSRF",1602584000,73246000,NA,0,"TX",73246000,-4.4703483581543e-08,-6.10319793320358e-16,"Negative"
"Utah",8444000,0.00526899058021296,"FY25","CWSRF",1602584000,8444000,NA,0,"UT",8444000,-5.58793544769287e-09,-6.61764027438757e-16,"Negative"
"Vermont",7867000,0.00490894705051342,"FY25","CWSRF",1602584000,7867000,NA,0,"VT",7867000,9.31322574615479e-10,1.18383446627111e-16,"Positive"
"Virginia",32797000,0.0204650739056424,"FY25","CWSRF",1602584000,32797000,NA,0,"VA",32797000,-2.23517417907715e-08,-6.81517876353675e-16,"Negative"
"Washington",27869000,0.0173900400852623,"FY25","CWSRF",1602584000,27869000,NA,0,"WA",27869000,3.72529029846191e-09,1.33671473625244e-16,"Positive"
"West Virginia",24982000,0.0155885744522596,"FY25","CWSRF",1602584000,24982000,NA,0,"WV",24982000,0,0,"Negative"
"Wisconsin",43324000,0.0270338403478382,"FY25","CWSRF",1602584000,43323999.9999999,NA,0,"WI",43324000,6.70552253723145e-08,1.54776164186858e-15,"Positive"
"Wyoming",7867000,0.00490894705051342,"FY25","CWSRF",1602584000,7867000,NA,0,"WY",7867000,9.31322574615479e-10,1.18383446627111e-16,"Positive"
"Alabama",6330747.9021,0.0177,"FY26","DWSRF",1090579000,19303248.3,"STAG—Drinking Water State Revolving Fund",9682000,"AL",16012747.9021,-3290500.3979,-0.170463558607387,"Negative"
"Alaska",3576693.73,0.01,"FY26","DWSRF",1090579000,10905790,"STAG—Drinking Water State Revolving Fund",937868,"AK",4514561.73,-6391228.27,-0.586039917328318,"Negative"
"Arizona",6259214.0275,0.0175,"FY26","DWSRF",1090579000,19085132.5,"STAG—Drinking Water State Revolving Fund",12350000,"AZ",18609214.0275,-475918.4725,-0.0249366082472836,"Negative"
"Arkansas",4292032.476,0.012,"FY26","DWSRF",1090579000,13086948,"STAG—Drinking Water State Revolving Fund",1.1e+07,"AR",15292032.476,2205084.476,0.168494936787401,"Positive"
"California",38592525.3467,0.1079,"FY26","DWSRF",1090579000,117673474.1,"STAG—Drinking Water State Revolving Fund",54290000,"CA",92882525.3467,-24790948.7533,-0.210675761405943,"Negative"
"Colorado",6259214.0275,0.0175,"FY26","DWSRF",1090579000,19085132.5,"STAG—Drinking Water State Revolving Fund",14982000,"CO",21241214.0275,2156081.5275,0.112971787201373,"Positive"
"Connecticut",3576693.73,0.01,"FY26","DWSRF",1090579000,10905790,"STAG—Drinking Water State Revolving Fund",3092000,"CT",6668693.73,-4237096.27,-0.388518050503448,"Negative"
"Delaware",3576693.73,0.01,"FY26","DWSRF",1090579000,10905790,"STAG—Drinking Water State Revolving Fund",1092000,"DE",4668693.73,-6237096.27,-0.571906874238363,"Negative"
"Florida",12911864.3653,0.0361,"FY26","DWSRF",1090579000,39369901.9,"STAG—Drinking Water State Revolving Fund",13010000,"FL",25921864.3653,-13448037.5347,-0.34158168767751,"Negative"
"Georgia",9692840.0083,0.0271,"FY26","DWSRF",1090579000,29554690.9,"STAG—Drinking Water State Revolving Fund",26011195,"GA",35704035.0083,6149344.1083,0.208066601985677,"Positive"
"Hawaii",3576693.73,0.01,"FY26","DWSRF",1090579000,10905790,"STAG—Drinking Water State Revolving Fund",7624000,"HI",11200693.73,294903.73,0.0270410240798695,"Positive"
"Idaho",3576693.73,0.01,"FY26","DWSRF",1090579000,10905790,"STAG—Drinking Water State Revolving Fund",1.3e+07,"ID",16576693.73,5670903.73,0.519990182279321,"Positive"
