"state","allotment","pct","fy","program","base_total","hypothetical","account","total_earmarks","state_abbr","actual_total","difference","diff_as_pct","bar_color"
"California",54191000,0.0715168983433566,"FY23","CWSRF",1620845642,115917853.009187,"STAG—Clean Water State Revolving Fund",74948832,"CA",129139832,13221978.9908134,0.114063353034718,"Positive"
"Colorado",6061000,0.00799881753167656,"FY23","CWSRF",1620845642,12964848.5373711,"STAG—Clean Water State Revolving Fund",2454000,"CO",8515000,-4449848.53737115,-0.343224105128916,"Negative"
"Connecticut",9282000,0.0122496327881574,"FY23","CWSRF",1620845642,19854763.9207852,"STAG—Clean Water State Revolving Fund",9225000,"CT",18507000,-1347763.92078518,-0.0678811355381697,"Negative"
"Delaware",3720000,0.00490935509286204,"FY23","CWSRF",1620845642,7957306.80729594,"STAG—Clean Water State Revolving Fund",10560000,"DE",14280000,6322693.19270406,0.794577027859084,"Positive"
"Florida",25576000,0.0337531359825375,"FY23","CWSRF",1620845642,54708623.3611293,"STAG—Clean Water State Revolving Fund",51772327,"FL",77348327,22639703.6388707,0.413823310621929,"Positive"
"Georgia",12811000,0.0169069215308214,"FY23","CWSRF",1620845642,27403510.0828678,"STAG—Clean Water State Revolving Fund",29398290,"GA",42209290,14805779.9171322,0.540287717608428,"Positive"
"Hawaii",5868000,0.00774411174325657,"FY23","CWSRF",1620845642,12552009.7702184,"STAG—Clean Water State Revolving Fund",4199000,"HI",10067000,-2485009.77021843,-0.197977042378862,"Negative"
"Idaho",3720000,0.00490935509286204,"FY23","CWSRF",1620845642,7957306.80729594,"STAG—Clean Water State Revolving Fund",4560000,"ID",8280000,322693.192704065,0.0405530665737549,"Positive"
"Illinois",34269000,0.045225454214325,"FY23","CWSRF",1620845642,73303480.3707592,"STAG—Clean Water State Revolving Fund",22548296,"IL",56817296,-16486184.3707592,-0.224903159950582,"Negative"
"Indiana",18261000,0.0240993906856865,"FY23","CWSRF",1620845642,39061392.3677503,NA,0,"IN",18261000,-20800392.3677503,-0.532505144003096,"Negative"
"Iowa",10255000,0.0135337194831452,"FY23","CWSRF",1620845642,21936070.2443064,"STAG—Clean Water State Revolving Fund",6e+06,"IA",16255000,-5681070.2443064,-0.25898304395615,"Negative"
"Kansas",6839000,0.00902555900002244,"FY23","CWSRF",1620845642,14629037.9718002,"STAG—Clean Water State Revolving Fund",21100000,"KS",27939000,13309962.0281998,0.909831668620779,"Positive"
"Kentucky",9644000,0.0127273711063337,"FY23","CWSRF",1620845642,20629103.9918177,"STAG—Clean Water State Revolving Fund",12899000,"KY",22543000,1913896.00818226,0.0927764971731869,"Positive"
"Louisiana",8329000,0.0109919404753892,"FY23","CWSRF",1620845642,17816238.816658,"STAG—Clean Water State Revolving Fund",1e+07,"LA",18329000,512761.183341976,0.0287805517549837,"Positive"
"Maine",5865000,0.00774015258592361,"FY23","CWSRF",1620845642,12545592.5873093,"STAG—Clean Water State Revolving Fund",25829453,"ME",31694453,19148860.4126907,1.5263416438424,"Positive"
"Maryland",18326000,0.0241851724279004,"FY23","CWSRF",1620845642,39200431.330781,"STAG—Clean Water State Revolving Fund",10818972,"MD",29144972,-10055459.330781,-0.256513997153017,"Negative"
"Massachusetts",25726000,0.0339510938491851,"FY23","CWSRF",1620845642,55029482.5065847,"STAG—Clean Water State Revolving Fund",19765800,"MA",45491800,-9537682.50658474,-0.173319502058619,"Negative"
"Michigan",32580000,0.0429964486358723,"FY23","CWSRF",1620845642,69690606.3929305,"STAG—Clean Water State Revolving Fund",32925944,"MI",65505944,-4184662.39293052,-0.0600462904474744,"Negative"
"Minnesota",13927000,0.01837972805868,"FY23","CWSRF",1620845642,29790702.1250566,"STAG—Clean Water State Revolving Fund",12380000,"MN",26307000,-3483702.12505658,-0.1169392419968,"Negative"
