"","Agency","Account","State","Project","Amount","Senate_Requestor","Originiation","House_Requestor"
"299","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NV","City of West Wendover for Water Transmission System Pipeline Replacement","2e+06","","H","Amodei"
"300","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NV","Lyon County for Sewer Rehabilitation Project","1937766","","H","Amodei"
"301","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NV","City of Elko for Water Storage Tank Reconstruction","2e+06","","H","Amodei"
"302","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NV","Gardnerville Ranchos General Improvement District for Pipeline Replacement Project","2e+06","","H","Amodei"
"303","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AZ","City of Tolleson for Wastewater Digester Project","1092000","","H","Ansari"
"304","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Dighton for Pump Station Project","350000","","H","Auchincloss"
"305","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Needham for Stormwater Management Project","1092000","","H","Auchincloss"
"306","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Swansea for Route 6 Corridor Sewer Collection Project","1092000","","H","Auchincloss"
"307","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","City of Fall River for Lead Service Line Replacement Project","1092000","","H","Auchincloss"
"308","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Foxborough for PFAS Treatment Plant","1092000","","H","Auchincloss"
"309","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Freetown for Water Line Extension Project","1e+06","","H","Auchincloss"
"310","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Mendon for Water System Expansion Project","960000","","H","Auchincloss"
"311","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Plainville for Water Treatment Plant Replacement Project","1092000","","H","Auchincloss"
"312","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Sharon for Water Main Replacement Project","906560","","H","Auchincloss"
"313","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Beaumont for Wastewater Interceptor Rehabilitation","1e+06","","H","Babin"
"314","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NE","Sarpy County for Sewer Extension Project","2e+06","","H","Bacon"
"315","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","City of Cambridge for Waterline Project","2e+06","","H","Balderson"
"316","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Village of Thornville for Regional Wastewater Plant Project","1e+06","","H","Balderson"
"317","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Muskingum County for Waterline Expansion Project","9e+05","","H","Balderson"
"318","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Village of Fredericktown for Water Improvement Project","9e+05","","H","Balderson"
"319","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Village of McConnelsville for Sewer Line Project","9e+05","","H","Balderson"
"320","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Village of Millersburg for Waterline Project","4e+05","","H","Balderson"
"321","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Tuscarawas County for Water System Improvements","9e+05","","H","Balderson"
"322","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Village of Stockport for Water Treatment Plant Project","650000","","H","Balderson"
"323","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Village of New Lexington for Waterline Project","650000","","H","Balderson"
"324","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Village of Chauncey for Sewer System Replacement Project","6e+05","","H","Balderson"
"325","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Village of Junction City for Wastewater Treatment Plant Upgrades","750000","","H","Balderson"
"326","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VT","City of Burlington for South End Wastewater Storage Project","1e+06","","H","Balint"
"327","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VT","Town of Berlin for Wastewater Treatment Project","1092000","","H","Balint"
"328","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VT","Town of Highgate for Wastewater Discharge System Construction","750000","","H","Balint"
"329","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","VT","Town of Troy for Waterline Replacement Project","1040000","","H","Balint"
"330","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","KY","Nicholas County for Water Improvements Project","1e+06","","H","Barr"
"331","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","Clark County for Sanitary Sewer Improvements","1e+06","","H","Barr"
"332","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","Winchester Municipal Utilities for Sanitary Sewer Project","1e+06","","H","Barr"
"333","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","City of Lancaster for Sanitary Sewer Extension Project","1e+06","","H","Barr"
"334","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","KY","Bourbon County for Water Tank Project","750000","","H","Barr"
"335","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","City of Republic for Water Tank Replacement Project","934965","","H","Baumgartner"
"336","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","City of College Place for Water Storage Project","1e+06","","H","Baumgartner"
"337","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","City of Palouse for Wastewater Treatment Plant Improvements","1e+06","","H","Baumgartner"
"338","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","City of Ritzville for Sewer Collection System Improvement Project","750000","","H","Baumgartner"
"339","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","Town of Springdale for Storage Capacity Improvements","750000","","H","Baumgartner"
"340","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AK","City of Homer for Water Transmission Main Replacement Project","937868","","H","Begich"
"341","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Carmichael Water District for Ranney Collector Well Screens Replacement Project","1092000","","H","Bera"
"342","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Sacramento County for Arden Service Area Water Supply Project","1092000","","H","Bera"
"343","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","Charter Township of Grayling for Municipal Water Service Project","1750000","","H","Bergman"
"344","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Escanaba for Water Infrastructure Improvement Project","750000","","H","Bergman"
"345","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Escanaba for Water Main and Service Line Upgrade Project","750000","","H","Bergman"
"346","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Village of Beulah for Wastewater Treatment Improvements","1e+06","","H","Bergman"
"347","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Tawas City for Primary Transmission Main Project","1e+06","","H","Bergman"
"348","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","City of Alexandria for Bellefonte Ave. Storm Drain Improvements","1092000","","H","Beyer"
"349","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","City of Falls Church for Cavalier Trail Park Sewage Flow Equalization Basin","1092000","","H","Beyer"
"350","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OK","City of Wewoka for Wastewater Treatment Facility Upgrade","2250000","","H","Bice"
"351","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OK","City of Bethany for Wastewater System Repair Project","1280000","","H","Bice"
"352","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OK","City of Konawa for Water Distribution Line Replacement Project","1500000","","H","Bice"
"353","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OK","City of Yukon for Wastewater Facility Repairs and Upgrades","1640000","","H","Bice"
"354","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OK","City of Seminole for Wastewater Lift Station Upgrade","1250000","","H","Bice"
"355","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OK","City of Piedmont for Water Distribution Line Replacement Project","1250000","","H","Bice"
"356","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OK","City of Spencer for Water Distribution Line Replacement Project","5e+05","","H","Bice"
"357","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Brooksville for Wastewater Treatment Improvement Project","1e+06","","H","Bilirakis"
"358","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","Pasco County for Chlorine Booster Station Construction Project","750000","","H","Bilirakis"
"359","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Citrus County for Lift Station Improvements","750000","","H","Bilirakis"
"360","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Crystal River for Wastewater Treatment Plant Rehabilitation","750000","","H","Bilirakis"
"361","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Hernando County for Centralized Sewer Transition Project","750000","","H","Bilirakis"
"362","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of Attapulgus for Water Main Replacement","478420","","H","Bishop (GA)"
"363","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of Blakely for Water System Improvements","960000","","H","Bishop (GA)"
"364","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","Lee County Board of Commissioners for Water Supply and Treatment Improvements","1092000","","H","Bishop (GA)"
"365","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Castle Rock Water for Water Supply Project","1750000","","H","Boebert"
"366","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Prairie View Ranch Water District for Water Infrastructure Consolidation Project","1750000","","H","Boebert"
"367","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Town of Severance for Regional Water Treatment Plant and Transmission Line Project","1750000","","H","Boebert"
"368","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CO","City of Lamar for Wastewater Treatment Plant Improvements Project","1e+06","","H","Boebert"
"369","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Louviers Water and Sanitation District for Drinking Water Distribution Project","1e+06","","H","Boebert"
"370","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Town of Ovid for Water Treatment Plant Improvement Project","1e+06","","H","Boebert"
"371","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Town of Kiowa for Well Redundancy Project","1e+06","","H","Boebert"
"372","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","City of Brush for Water Treatment Facility","1e+06","","H","Boebert"
"373","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CO","City of Yuma for Water Infrastructure Improvements","750000","","H","Boebert"
"374","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Town of Walsh for Water System Improvement Project","750000","","H","Boebert"
"375","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OR","City of Hillsboro for Seismically Resilient Water Treatment Plant Project","1092000","","H","Bonamici"
"376","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of West Salem for Watermain Replacement Project","1200000","","H","Bost"
"377","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Maeystown for Wastewater Treatment Facility Improvements","1636000","","H","Bost"
"378","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Anna for Sewer Improvement Project","1e+06","","H","Bost"
"379","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Robinson Palestine Water Commission for New Water Treatment Plant","1e+06","","H","Bost"
"380","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Casey for Sanitary Sewer Relining","1e+06","","H","Bost"
"381","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Sparta for Raw Water Transmission Line Project","750000","","H","Bost"
"382","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Milford Borough for Sewer Extension Project","1250000","","H","Bresnahan"
"383","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Monroe County for Wastewater Treatment Project","1250000","","H","Bresnahan"
"384","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Dallas Area Municipal Authority for Wastewater Infrastructure Expansion Project","1e+06","","H","Bresnahan"
"385","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","City of University Heights for Manhole Separation Project","1092000","","H","Brown"
"386","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Cleveland Metroparks for Stormwater Project","1092000","","H","Brown"
"387","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Northeast Ohio Regional Sewer District for Big Creek West Branch Culvert Repair Project","1092000","","H","Brown"
"388","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Calleguas Municipal Water District for Lake Bard Pump Station Project","1092000","","H","Brownley"
"389","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Oxnard for Cast Iron Pipe Replacement Project","1092000","","H","Brownley"
"390","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Santa Paula for Cross-Town Pipeline Project","1092000","","H","Brownley"
"391","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Hillsborough County for Sewer Expansion","2e+06","","H","Buchanan"
"392","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Hillsborough County for Aquifer Recharge Project","750000","","H","Buchanan"
"393","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Glen Carbon for Drinking Water Treatment Plant Installation","1092000","","H","Budzinski"
"394","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TN","Knoxville Utilities Board for Wastewater Treatment Plant","750000","","H","Burchett"
"395","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OR","Marion County for North Santiam Sewer Project","1092000","","H","Bynum"
"396","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OR","Oak Lodge Water Services Authority for Clarifier Replacement Project","1092000","","H","Bynum"
"397","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OR","City of Bend for Drinking Water Protection Project","992250","","H","Bynum"
"398","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OR","City of Halsey for Municipal Water Well and Water Treatment Project","7e+05","","H","Bynum"
"399","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OR","City of Molalla for Water Intake Project","1092000","","H","Bynum"
"400","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OR","City of Oregon City for Water Transmission Main Project Phase 3","1092000","","H","Bynum"
"401","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Village of Jeffersonville for Wastewater Infrastructure Improvements","1936000","","H","Carey"
"402","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","City of Columbus for Wastewater Treatment Improvement Project","750000","","H","Carey"
"403","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IN","City of Indianapolis for Lead Service Line Replacement Program","1092000","","H","Carson"
"404","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","GA","City of Port Wentworth for Water Infrastructure Improvements","1750000","","H","Carter (GA)"
"405","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of Rincon for Waterline Extension Project","1e+06","","H","Carter (GA)"
"406","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","LA","City of Kenner for Wastewater Treatment Plant Stabilization and Improvement Project","1092000","","H","Carter (LA)"
"407","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","LA","City of Westwego for Wastewater Treatment Plant Modernization Project","1092000","","H","Carter (LA)"
"408","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","LA","St. Bernard Parish for Culvert Drainage Improvements Project","1092000","","H","Carter (LA)"
"409","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of Georgetown for Waterline Upgrade Project","3500000","","H","Carter (TX)"
"410","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Marble Falls for Wastewater Line Replacement Project","2e+06","","H","Carter (TX)"
"411","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of Gatesville for Storage Tank Replacement Project","775840","","H","Carter (TX)"
"412","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of Hamilton for Service Line Replacement Project","2e+06","","H","Carter (TX)"
"413","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of San Marcos for Main Replacement Project","1092000","","H","Casar"
"414","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","HI","Department of Hawaiian Home Lands for Papakolea Sewer Improvement Project","1092000","","H","Case"
"415","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","City of Palos Heights for 80th Ave Pump Station Upgrades","1092000","","H","Casten"
"416","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Hillsborough County for Ruskin Septic-to-Sewer Project Phase 1","1092000","","H","Castor"
"417","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","San Antonio River Authority for Woodlawn Lake Storm Quality Improvements","80000","","H","Castro"
"418","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of North Lauderdale for Storm Water Culvert Replacements","750000","","H","Cherfilus-McCormick"
"419","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Town of Lake Park for Final Septic To Sewer Conversion Project","1092000","","H","Cherfilus-McCormick"
"420","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","City of Riviera Beach for Construction of Water Treatment Facilities","1092000","","H","Cherfilus-McCormick"
"421","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","City of Tamarac for Water Treatment Plant Project","1092000","","H","Cherfilus-McCormick"
"422","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Los Angeles County Department of Public Works for Public Sewer Enhancement Project","1092000","","H","Chu"
"423","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AZ","City of Tombstone for Water Reclamation Facility Upgrades","989786","","H","Ciscomani"
"424","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AZ","Town of Marana for Source Water System Improvements","2250000","","H","Ciscomani"
"425","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AZ","Town of Marana for PFAS Treatment Project","1750000","","H","Ciscomani"
"426","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AZ","Graham County for Water Line Project","1200000","","H","Ciscomani"
"427","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","San Gabriel River Watershed Management Authority for Stormwater Capture Project","1092000","","H","Cisneros"
"428","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","City of Melrose for Stormwater Improvement Project","852500","","H","Clark"
"429","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Arlington for Mystic River Watershed Infrastructure Project","1092000","","H","Clark"
"430","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","City of Woburn for Horn Pond Plant PFAS Removal Project","1092000","","H","Clark"
"431","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Natick for PFAS Removal Project","1036000","","H","Clark"
"432","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","SC","County of Orangeburg for Wastewater Treatment Plant Expansion","1092000","","H","Clyburn"
"433","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OK","Moore Public Works Authority for Water Transmission Line Construction","5e+06","","H","Cole"
"434","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","Paducah McCracken County Joint Sewer Agency for Wastewater Treatment Plant Upgrades","1750000","","H","Comer"
"435","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","City of Madisonville for Lift Station Improvement Project","1e+06","","H","Comer"
"436","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","City of Eddyville for Wastewater Treatment Plant Construction Project","1e+06","","H","Comer"
"437","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","KY","Henderson Water Utility for Raw Water Intake and Pipeline Project","1e+06","","H","Comer"
"438","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","City of Adairville for Wastewater Treatment Plant Improvement","750000","","H","Comer"
"439","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","Franklin County Fiscal Court for Wastewater Improvement Project","750000","","H","Comer"
"440","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","KY","South Hopkins Water District for Waterline and Building Project","750000","","H","Comer"
"441","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Township of Burlington for Sludge Dewatering Project Phase 2","1092000","","H","Conaway"
"442","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Borough of Freehold for Water Tower Tanks Refurbishment Project","1092000","","H","Conaway"
"443","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Township of Freehold for Water Main Replacements","1092000","","H","Conaway"
"444","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Willingboro Municipal Utilities Authority for PFOS/PFOA Water Treatment Plant Upgrade Project","1092000","","H","Conaway"
"445","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Santa Ana for PFAS Treatment","1092000","","H","Correa"
"446","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Woodlake for Storm Drain Enhancement Project","1092000","","H","Costa"
"447","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Dinuba for Water Tower Replacement","1092000","","H","Costa"
"448","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","Town of Killingly for Water Pollution Control Facility Upgrades","1e+06","","H","Courtney"
"449","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Newport for Inflow and Infiltration Mitigation Project","1092000","","H","Craig"
"450","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Hastings for PFAS and Nitrates Treatment Project","1092000","","H","Craig"
"451","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Newport Municipal Utility District for Sewer System Rehabilitation","750000","","H","Crenshaw"
"452","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Harris County Flood Control District for Woodridge Stormwater Detention Basin Construction Project","1e+06","","H","Crenshaw"
"453","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","The City of Woodbranch Village for Water and Wastewater Project","1e+06","","H","Crenshaw"
"454","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Montgomery County Municipal Utility District 84 for Bentwood Drainage Channel Improvement Project Phase II","1e+06","","H","Crenshaw"
"455","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Harris County Flood Control District for Kuykendahl Stormwater Detention Basin Project","750000","","H","Crenshaw"
"456","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Montgomery County Precinct 4 for Drainage Improvements","750000","","H","Crenshaw"
"457","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Glenn Height for Wastewater Treatment Project","1092000","","H","Crockett"
"458","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Grand Prairie for Waterford Lift Station Project","1092000","","H","Crockett"
"459","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of Glenn Heights for Citywide Infiltration and Inflow Study Project","325000","","H","Crockett"
"460","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KS","City of Bonner Springs for Lonestar Interceptor Sanitary Sewer Project","1092000","","H","Davids"
"461","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KS","City of Olathe for Olathe Basin C16 Sanitary Sewer Rehabilitation Improvement","884466","","H","Davids"
"462","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KS","City of Princeton for Stormwater Improvements","610680","","H","Davids"
"463","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Oak Park for Relief Sewer Project","1092000","","H","Davis (IL)"
"464","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Bellwood for Water Infrastructure Improvement Project","1092000","","H","Davis (IL)"
"465","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Forest Park for Water System Improvements","1092000","","H","Davis (IL)"
"466","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Hillside for Drinking Water Improvement Project","1092000","","H","Davis (IL)"
"467","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Maywood for Water Main Improvements","1092000","","H","Davis (IL)"
"468","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of North Riverside for Water Main Improvement Project","1092000","","H","Davis (IL)"
"469","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of River Forest for Drinking Water Improvement Project","1092000","","H","Davis (IL)"
"470","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","Northampton County Government for the Town of Garysburg Wastewater Infrastructure Rehabilitation","1092000","","H","Davis (NC)"
"471","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","Town of Sharpsburg for Sewer Infrastructure Rehabilitation","1092000","","H","Davis (NC)"
"472","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","Town of Tarboro for Wastewater Treatment Plant Denitrification Upgrade","1092000","","H","Davis (NC)"
"473","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Hertford County for Water System Improvements","1092000","","H","Davis (NC)"
"474","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of McAllen for Remote Groundwater Well","1e+06","","H","De La Cruz"
"475","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of Edinburg for Water Treatment Plant Project","750000","","H","De La Cruz"
"476","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Upper Merion Township for Water Pollution Control Center Hydrothermal Carbonization Equipment","1092000","","H","Dean"
"477","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Upper Providence Township for Second Avenue Force Main and Gravity Main Replacement Project","1092000","","H","Dean"
"478","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","West Norriton Township for Rittenhouse Pump Station Force Main Replacement Project","1092000","","H","Dean"
"479","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","Naugatuck Valley Council of Governments for Kinneytown Dam Sewer Relocation","1093276","","H","DeLauro"
"480","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","Naugatuck Valley Council of Governments for Kinneytown Water Sediment Removal","1093276","","H","DeLauro"
"481","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","City of Bellevue for Lake Washington Sanitary Sewer Lake Lines Program","5e+05","","H","DelBene"
"482","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","City of Bothell for Woodcrest Utility Replacement Project","1092000","","H","DelBene"
"483","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","City of Redmond for AC Water Main Replacement","1092000","","H","DelBene"
"484","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Municipal Water Authority of Aliquippa for WWTP Final Clarifier Rehabilitation Project","9e+05","","H","Deluzio"
"485","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Central Contra Costa Sanitary District for Ultraviolet (UV) Disinfection Replacement Project","1092000","","H","DeSaulnier"
"486","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OR","City of Gresham for Wastewater Treatment Nitrification Project","1092000","","H","Dexter"
"487","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OR","City of Portland for Wastewater Treatment Plant and Pump Reliability Project","1092000","","H","Dexter"
"488","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OR","City of Sandy for Wastewater Station Pipeline Project","1092000","","H","Dexter"
"489","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Town of Medley for Wastewater Pump Station Improvement Project","1200000","","H","Diaz-Balart"
"490","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","City of Rockwood for Wastewater Treatment Plant Infrastructure Improvement Plan","1092000","","H","Dingell"
