"","Agency","Account","State","...4","Amount","Requestor"
"243","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","Hanley Falls for Sewer and Water Main Replacement",750000,"Fischbach"
"244","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","Henderson for Water Filtration Plant Construction",750000,"Fischbach"
"245","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Wheaton for Water Main Pipe Replacement",750000,"Fischbach"
"246","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","Barnesville for Water Improvement Project",750000,"Fischbach"
"247","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","Polk County for Water Improvement Project",750000,"Fischbach"
"248","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TN","City of Oak Ridge for Water Infrastructure Project",3e+06,"Fleischmann"
"249","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TN","Athens Utilities Board for Water System Improvements",2e+06,"Fleischmann"
"250","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Southside Place for Edloe/Auden Sanitary Sewer Replacement Project",909909,"Fletcher"
"251","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NE","City of Scribner for Wastewater Treatment Improvement Project",750000,"Flood"
"252","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Visalia for Groundwater Recharge Basin Project",2e+06,"Fong"
"253","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Tule River Indian Tribe of California for Water Transmission Improvement Project",1250000,"Fong"
