"state","pct","allotment"
"Alabama",0.011181317172766,9724105.00153939
"Alaska",0.00598470969384444,5204748.65058119
"Arizona",0.00675409214119198,5873860.84807536
"Arkansas",0.00654131078308532,5688810.35387786
"California",0.0715182480294325,62197587.5130552
"Colorado",0.0079989566849538,6956487.63964135
"Connecticut",0.0122502159013194,10653698.8330946
"Delaware",0.00490894705051342,4269185.44824546
"Florida",0.0337542369073946,29355194.8185318
"Georgia",0.0169070700818179,14703645.572672
"Hawaii",0.00774499183818134,6735620.92076047
"Idaho",0.00490894705051342,4269185.44824546
"Illinois",0.0452257104775787,39331641.4030678
"Indiana",0.0240992047842734,20958460.8105616
"Iowa",0.013533767964737,11769971.1690601
"Kansas",0.00902604793258887,7849722.57644217
"Kentucky",0.0127269459822387,11068298.7673083
"Louisiana",0.0109928715125073,9560218.64010935
"Maine",0.00774062389241375,6731822.23026375
"Maryland",0.0241853157151201,21033349.2803541
"Massachusetts",0.0339514184591884,29526678.5609553
"Michigan",0.0429968101516052,37393223.9095972
"Minnesota",0.0183796917977466,15984346.9401386
"Mississippi",0.00900920014177104,7835070.48452624
"Missouri",0.0277208558178542,24108117.9024157
"Montana",0.00490894705051342,4269185.44824546
"Nebraska",0.00511486449384244,4448266.57166239
"Nevada",0.00490894705051342,4269185.44824546
"New Hampshire",0.00999323592398277,8690861.18643079
"New Jersey",0.040863380640266,35537834.9369836
"New Mexico",0.00490894705051342,4269185.44824546
"New York",0.110376117570124,95991280.8419721
"North Carolina",0.0180471039271576,15695103.7923167
"North Dakota",0.00490894705051342,4269185.44824546
"Ohio",0.0562947090448925,48958065.7918343
"Oklahoma",0.00807882769327536,7025949.40872429
"Oregon",0.0112961317472282,9823956.2945961
"Pennsylvania",0.0396104041972215,34448153.4344952
"Rhode Island",0.00671478062928371,5839672.63360485
"South Carolina",0.0102440808094927,8909014.55495687
"South Dakota",0.00490894705051342,4269185.44824546
"Tennessee",0.0145265396384838,12633359.2519581
"Texas",0.0457049365275081,39748412.0175654
"Utah",0.00526899058021296,4582306.07918961
"Vermont",0.00490894705051342,4269185.44824546
"Virginia",0.0204650739056424,17797950.3172882
"Washington",0.0173900400852623,15123672.2075954
"West Virginia",0.0155885744522596,13556983.7127327
"Wisconsin",0.0270338403478382,23510638.1542883
"Wyoming",0.00490894705051342,4269185.44824546
