"","Agency","Account","State","Project","Amount","Requestor"
"182","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","WV","Huntington Four Pole Creek Pump Station","10,000,000","Capito"
"183","Environmental Protection Agency","STAG-Drinking water state revolving funds [SRF]","AK","City of Unalaska for Captains Bay Waterline Replacement","3,400,000","Murkowski"
"184","Environmental Protection Agency","STAG-Drinking water state revolving funds [SRF]","AK","City of Wasilla for Wasilla-Palmer Water System Interconnect De- sign.","1,930,000","Murkowski"
"185","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","AL","The City of Greenville Water Works and Sewer Board for Water Sup- ply Augmentation.","3,500,000","Britt, Tuberville"
"186","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","AR","City of Helena-West Helena for Water Rehabilitation","4,500,000","Boozman"
"187","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","AR","City of Wabbaseka for Drinking Water Regionalization","2,000,000","Boozman"
"188","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","AR","Wynne Water Utilities for Water Infrastructure Improvements","4,500,000","Boozman"
"189","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","AZ","City of Page for Water Treatment Plant Expansion","2,550,000","Gallego, Kelly"
"190","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","AZ","City of Safford for Water Line Upgrades","2,100,000","Gallego, Kelly"
"191","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","AZ","Town of Eagar for Spring Line Restoration Project","1,500,000","Gallego, Kelly"
"192","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","CA","City of Tustin for 17th Street Desalter Electrical Upgrade Project","2,000,000","Schiff"
"193","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","CA","County of Madera for North Fork Water System Project","1,200,000","Padilla"
"194","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","CA","Las Virgenes Municipal Water District for Water Farm Study","1,050,000","Padilla"
"195","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","CO","City of Brighton for Water Line Replacement","1,000,000","Bennet,"
"196","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","CO","Town of De Beque for Secondary Water Source","320,000","Hickenlooper Bennet, Hickenlooper"
"197","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","CT","Southington Water Department (SWD) for Wells PFAS Treatment","2,000,000","Blumenthal, Mur- phy 168"
"198","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","GA","City of College Park for Lead Pipe Replacement","2,134,000","Ossoff, Warnock"
"199","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","GA","City of East Point for Drinking Water Treatment Upgrades","1,250,000","Ossoff, Warnock"
"200","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","GA","City of Hiawassee for Drinking Water Project","2,000,000","Warnock"
"201","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","GA","City of Millen for Industrial Park Water Tank Construction","1,500,000","Ossoff"
"202","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","GA","City of Palmetto for Sewer Line Replacements","856,000","Ossoff, Warnock"
"203","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","GA","City of Savannah for Reservoir Rehabilitation","1,248,000","Ossoff, Warnock"
"204","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","GA","City of Wrens for New Municipal Drinking Water Well","557,000","Warnock"
"205","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","GA","DeKalb County for Larkspur Water Main Replacement Project","1,479,000","Ossoff, Warnock"
"206","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","GA","DeKalb County for Lithonia Booster Pump Station Standby Power Project.","726,000","Ossoff, Warnock"
"207","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","GA","DeKalb County for Water Storage Tank Upgrades","541,000","Ossoff"
"208","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","HI","County of Hawaii Department of Water Supply for Chlorination Sys- tem Conversion.","1,440,000","Hirono, Schatz"
"209","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","HI","County of Maui Department of Water Supply for Kealaloa Well De- velopment.","2,000,000","Hirono, Schatz"
"210","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","HI","Honolulu Board of Water Supply for Kaonohi Booster Replacement","2,000,000","Hirono, Schatz"
"211","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","IL","Bonnie Brae Forest Manor Sanitary District for Water Capital Im- provements.","250,000","Duckworth"
"212","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","IL","City of Chester for Route 150 Water Main Replacement","1,200,000","Duckworth"
"213","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","IL","City of Chicago for Lead Service Line Replacements","2,000,000","Durbin"
"214","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","IL","City of Macomb for Lead Service Line Replacements","1,000,000","Durbin"
"215","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","IL","City of Markham for Water System Infrastructure Improvements","1,500,000","Duckworth"
"216","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","IL","City of Paris for Wastewater Treatment Plant Upgrades","500,000","Duckworth"
"217","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","IL","City of Springfield for Water Main Replacement","900,000","Durbin"
"218","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","IL","North Park Public Water District for Well Reconstruction and Water Treatment.","1,000,000","Durbin"
"219","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","IL","Winnebago County for City of Rockford PFAS Remediation","700,000","Duckworth"
"220","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","IL","Winnebago County for Water Main Extension","600,000","Durbin"
"221","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","IN","Huntington-Andrews Drinking Water Regionalization Project","3,000,000","Young"
"222","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","IN","Town of Kingman for Water Infrastructure Improvements","2,000,000","Young"
"223","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","KS","City of Caney for Water Distribution System Improvements","4,000,000","Moran"
"224","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","KS","City of Hays for R9 Wellfield and Pipeline Project","11,000,000","Moran"
"225","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","KS","Russell R9 Project","1,000,000","Moran"
"226","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","KS","McPherson Board of Public Utilities for South Well Field Project","2,000,000","Moran"
"227","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","KY","City of Albany for Water Treatment Plant Construction","7,334,000","McConnell"
"228","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","KY","Edmonson County Water District for Water Treatment Plant Mod- ernization.","9,256,000","McConnell"
"229","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","MA","City of Haverhill for Radial Collector Well","1,000,000","Markey, Warren"
"230","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","MD","Garrett County Sanitary District for Gorman Water Source Project","1,659,000","Alsobrooks, Van 169 Hollen"
"231","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","MD","Middletown Wastewater Treatment Enhanced Nutrient Removal Up- grade.","470,000","Alsobrooks"
"232","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","ME","Canton Water District for Drinking Water Infrastructure Improve- ments.","1,250,000","Collins"
"233","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","ME","Livermore Falls Water District for Water Main Replacement","2,000,000","King"
"234","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","ME","Loring Development Authority for Water Infrastructure Improve- ments.","1,740,000","Collins, King"
"235","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","ME","Lubec Water District for Drinking Water Infrastructure Improve- ments.","2,000,000","Collins, King"
"236","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","ME","Monmouth Water Association for Drinking Water Infrastructure Im- provements.","3,555,000","Collins, King"
"237","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","ME","Old Town Water District for Drinking Water Infrastructure Improve- ments.","3,560,000","Collins, King"
"238","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","ME","Presque Isle Utilities District for Water Infrastructure Upgrades","2,000,000","Collins, King"
"239","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","MI","Charter Township of Grayling for Camp Grayling PFOS Contamina- tion Municipal Water Extension.","3,000,000","Peters"
"240","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","MI","City of Brighton for Water Treatment Plant Generator Replacement","1,000,000","Slotkin"
"241","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","MI","City of Dearborn for Lead Line Replacement Project","500,000","Slotkin"
"242","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","MI","City of Grand Blanc for the Blast the Mains and Roll in the New Project.","1,000,000","Peters"
"243","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","MI","City of St. Ignace for Water and Wastewater SCADA Communication System.","36,000","Peters"
"244","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","MI","Great Lakes Water Authority for 54-Inch Water Main Assessment and Renewal Project.","1,000,000","Slotkin"
"245","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","MI","Oakland County for Pontiac Drinking Water System Improvements","1,000,000","Peters, Slotkin"
"246","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","MI","Redford Charter Township for Lead Service Lines Replacement","1,000,000","Peters, Slotkin"
"247","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","MI","Village of Bellevue for Potable Drinking Water Well","144,000","Peters, Slotkin"
"248","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","MN","City of Elysian for Water Treatment Plant","1,000,000","Klobuchar"
"249","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","MT","St. Ignatius Wastewater Collection System Replacement Project","4,625,000","Sheehy"
"250","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NC","Fayetteville Public Works Commission for Water Treatment Plants","4,500,000","Tillis"
"251","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NE","City of Genoa for New Well and Transmission Line","620,000","Fischer"
"252","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NE","City of McCook for Water Treatment Plant","3,200,000","Fischer"
"253","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NE","Santee Sioux Tribe Of The Santee Reservation Of Nebraska for Water System Capacity and Infrastructure Improvements.","8,250,000","Fischer"
"254","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NE","Village of Farwell for Water System Improvements","696,000","Fischer"
"255","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NJ","Township of Bloomfield for Lead Service Line Replacement","481,000","Booker, Kim"
"256","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NJ","Borough of Hamburg for Lead/Galvanized Steel Water Service Line Replacement.","500,000","Booker"
"257","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NJ","Borough of Ho-Ho-Kus for Lead Service Line Replacement","944,000","Booker, Kim"
"258","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NJ","Cape May Water and Sewer Utility for Desalination Plant Funding","1,250,000","Booker, Kim"
"259","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NJ","City of Garfield for Lead Service Line Removal","944,000","Booker, Kim"
"260","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NJ","Hamilton Township Municipal Utilities Authority for Water Main Re- placement.","1,100,000","Booker"
"261","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NJ","Town of Kearny for Lead Service Line Replacement Project","379,000","Booker, Kim"
"262","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NJ","Township of Nutley for Booster Pump Station Enhancement Project","400,000","Booker"
"263","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NJ","Village of Ridgewood for Lead Service Line Replacement","1,535,000","Booker, Kim"
"264","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NM","City of Truth or Consequences for Water Line Improvements","1,075,000","Heinrich"
"265","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NM","Enchanted Forest Mutual Domestic Water Consumers Association for Drinking Water Line Improvements.","800,000","Heinrich, Luján"
"266","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NM","Village of Questa for Water System Improvements","1,000,000","Heinrich"
"267","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NV","Lyon County for Generator Project","240,000","Cortez Masto, Rosen"
"268","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NV","Virgin Valley Water District for Interstate 15 (I-15) Pipe Replace- ment Project.","1,616,000","Cortez Masto, Rosen"
"269","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NY","City of Syracuse for Lead Service Replacements","1,000,000","Gillibrand, Schumer"
"270","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NY","Erie County Water Authority for Lead Service Line Replacement","1,600,000","Gillibrand, Schumer"
"271","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NY","Town of Hempstead for Levittown Dioxane Removal","2,000,000","Gillibrand, Schumer"
"272","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","NY","Village of Kiryas Joel for Water Treatment Facility Construction Project.","2,000,000","Gillibrand, Schumer"
"273","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","OH","Village of Scio Waterline Replacement and Lead Line Removal","500,000","Moreno"
"274","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","OK","City of Durant for 24-Inch Water Distribution Line Construction","15,000,000","Mullin"
"275","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","OK","City of Edmond for Water Treatment Plan Facility Construction","5,000,000","Mullin"
"276","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","OR","City of Beaverton for Water Infrastructure Project","2,000,000","Merkley, Wyden"
"277","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","OR","City of Hermiston for Regional Water System Backup Generators Project.","665,000","Merkley, Wyden"
"278","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","OR","City of Maupin for Water System Improvements","1,000,000","Merkley, Wyden"
"279","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","OR","City of Tillamook for the Water Transmission Line Replacement Project.","4,000,000","Merkley, Wyden"
"280","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","PA","Carlisle Borough for PFAS Reduction Infrastructure Project","1,943,000","Fetterman, McCor- mick"
"281","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","PA","City of Lock Haven for Water Line Replacement","825,000","Fetterman"
"282","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","RI","Providence Water for Lead Service Line Replacement","530,000","Reed, Whitehouse"
"283","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","RI","Town of Westerly for Lead Waterline Replacement","1,850,000","Reed, Whitehouse"
"284","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","SC","City of Aiken for Drinking Water Infrastructure Improvements","2,000,000","Graham 171"
"285","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","SC","Laurens County Water and Sewer Commission for Drinking Water Improvements.","4,422,000","Graham"
"286","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","SC","Pickens Regional Joint Water System for Water Treatment Plant Im- provements.","4,000,000","Graham"
"287","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","SC","Town of Chapin for Drinking Water Infrastructure Improvements","1,589,000","Graham"
"288","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","UT","Hill Air Force Base Culinary Vault Rehabilitation","1,160,000","Curtis"
"289","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","VA","City of Galax for Drinking Water System Improvements","1,000,000","Kaine, Warner"
"290","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","VA","Wise County Service Authority for Drinking Water System Improve- ments.","2,500,000","Kaine, Warner"
"291","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","VT","City of Burlington for Burlington Drinking Water Reservoir","1,000,000","Sanders, Welch"
"292","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","VT","City of Montpelier for Drinking Water System","1,700,000","Sanders, Welch"
"293","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","VT","Town of Berlin for Water Main System Loop","600,000","Welch"
"294","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","WA","City of Chelan for Water Infrastructure Projects","2,500,000","Murray"
"295","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","WA","City of Moses Lake for PFAS Remediation","2,000,000","Cantwell, Murray"
"296","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","WA","City of Redmond for Water Infrastructure Projects","2,500,000","Murray"
"297","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","WA","City of Sunnyside for Water Infrastructure Projects","2,114,000","Murray"
"298","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","WA","City of Washougal for Drinking Water Well PFAS Remediation","1,300,000","Cantwell"
"299","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","WA","Public Utility District No. 1 of Skamania County for Drinking Water Infrastructure Projects.","2,400,000","Cantwell, Murray"
"300","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","WA","Town of Nespelem for Water System Infrastructure Improvements","1,000,000","Cantwell"
"301","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","WI","City of Nekoosa for Water Utility Improvements","1,630,000","Baldwin"
"302","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","WI","Village of Vesper for Water Systems Improvement","1,100,000","Baldwin"
"303","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","WV","City of Pennsboro PH 3 Water System Improvement Project","2,500,000","Capito, Justice"
"304","Environmental Protection Agency","STAG-Drinking water state revolving fund [SRF]","WV","Harpers Ferry Water Distribution System Project","5,051,000","Capito, Justice"
"305","Environmental Protection Agency","STAG-Other (CDS)","AK","Bristol Bay Borough for Scrap Metal Backhaul Program","3,860,000","Murkowski"
"306","Environmental Protection Agency","STAG-Other (CDS)","AK","City of King Cove for Solid Waste Facility","2,000,000","Murkowski"
"307","Environmental Protection Agency","STAG-Other (CDS)","AK","City of Teller for Landfill Project","700,000","Murkowski"
"308","Environmental Protection Agency","STAG-Other (CDS)","AK","Fairbanks North Star Borough for Natural Gas Infrastructure Expan- sion.","3,000,000","Murkowski"
"309","Environmental Protection Agency","STAG-Other (CDS)","AK","Prince William Sound Stewardship Foundation for Beach Rehabili- tation.","250,000","Murkowski"
"310","Environmental Protection Agency","STAG-Other (CDS)","ME","North Pond Water Quality Restoration","2,350,000","Collins"
"311","Environmental Protection Agency","STAG-Other (CDS)","ME","Unity Pond Water Quality Restoration","2,000,000","Collins"
"312","Environmental Protection Agency","STAG-Other (CDS)","OH","Cold Creek & Lake Erie Western Basin for Water Quality Improve- ment.","620,000","Husted"
"313","Environmental Protection Agency","STAG-Other (CDS)","OR","COR Healthy Communities for Waste Improvement System","3,000,000","Merkley, Wyden"
"314","Environmental Protection Agency","STAG-Other (CDS)","OR","Oregon Department of Environmental Quality for Air Quality Im- provement Project.","1,000,000","Merkley, Wyden"
"315","Environmental Protection Agency","STAG-Other (CDS)","OR","Oregon Department of Environmental Quality for Crook County Groundwater Research Project.","1,014,000","Merkley, Wyden"
"316","Environmental Protection Agency","STAG-Other (CDS)","RI","Groundwork Rhode Island for a Compost Hub","570,000","Reed, Whitehouse"
"317","Fish and Wildlife Service","Construction","KY","Green River National Wildlife Refuge for Visitor Center Improvement","1,000,000","McConnell"
"318","Fish and Wildlife Service","Resource Management","CT","Denison Pequotsepos Nature Center for Upgrade to Wildlife Facility","900,000","Blumenthal, Mur- phy"
"319","Fish and Wildlife Service","Resource Management","DE","Partnership for the Delaware Estuary for Mussel Rearing and Living Shoreline Installation.","500,000","Coons"
"320","Fish and Wildlife Service","Resource Management","HI","Hawaii Department of Land and Natural Resources, Division of For- estry and Wildlife for Emergency for Preparedness at Olinda, Maui to Protect Rare Native Plants and Animals.","460,000","Hirono, Schatz"
"321","Fish and Wildlife Service","Resource Management","HI","Hawaii Department of Land and Natural Resources, Division of For- estry and Wildlife for Hawaii Plant Extinction Prevention Program.","200,000","Hirono, Schatz"
"322","Fish and Wildlife Service","Resource Management","HI","Hawaii Department of Land and Natural Resources, Division of For- estry and Wildlife for Hawaii Seed Extractory Feasibility Study.","250,000","Hirono"
"323","Fish and Wildlife Service","Resource Management","HI","Hawaii Division of Forestry and Wildlife for Hawaii Invertebrate Pro- gram.","400,000","Hirono, Schatz"
"324","Fish and Wildlife Service","Resource Management","HI","Hawaii Division of Forestry and Wildlife for Hawaii Island Forest Bird Recovery.","500,000","Schatz"
"325","Fish and Wildlife Service","Resource Management","HI","Hawaii Division of Forestry and Wildlife for Maui and Kauai Forest Bird Recovery.","500,000","Hirono, Schatz"
"326","Fish and Wildlife Service","Resource Management","HI","Hawaiian Islands Land Trust for Protecting Pupuka Wetlands","600,000","Hirono, Schatz"
"327","Fish and Wildlife Service","Resource Management","HI","San Diego Zoo Wildlife Alliance for Expanding and Enforcing Re- sponses to Mosquito-borne Diseases in Hawaii.","3,100,000","Hirono, Schatz"
"328","Fish and Wildlife Service","Resource Management","ME","Rangeley Lakes Watershed Crossing Infrastructure","1,000,000","Collins, King"
"329","Fish and Wildlife Service","Resource Management","NM","City of Bloomfield for San Juan River Bank Stabilization & Riparian Restoration.","928,000","Luján"
"330","Fish and Wildlife Service","Resource Management","NM","Desert Tortoise Council for Bolson Tortoise Habitat","150,000","Heinrich"
"331","Fish and Wildlife Service","Resource Management","OR","Lake County Umbrella Watershed Council for Closed Basin Water- shed Restoration and Resilience Project.","2,373,000","Merkley, Wyden"
"332","Fish and Wildlife Service","Resource Management","OR","Nestucca, Neskowin & Sand Lake Watersheds Council for Fish Pas- sage Improvements.","500,000","Merkley, Wyden"
"333","Fish and Wildlife Service","Resource Management","OR","Oregon Metro for Condor Recovery","2,000,000","Merkley, Wyden"
"334","Fish and Wildlife Service","Resource Management","OR","South Umpqua Rural Community Partnership for Wild Fish Habitat Restoration.","1,554,000","Merkley, Wyden"
"335","Fish and Wildlife Service","Resource Management","RI","Rhode Island Department of Environmental Management for Eliza- beth Webbing Dam Fish Passage.","2,000,000","Reed, Whitehouse 173"
"336","Fish and Wildlife Service","Resource Management","UT","Utah Lake Invasive Species Mitigation Program","1,200,000","Curtis"
"337","Forest Service","Capital Improvement and Maintenance","AK","Alaska Trails Initiative for Grant Creek Bridge and Moose Pass Trail Connection.","1,500,000","Murkowski"
"338","Forest Service","Capital Improvement and Maintenance","KY","Capital Improvements and Maintenance at Land Between the Lakes National Recreation Area.","7,450,000","McConnell"
"339","Forest Service","Capital Improvement and Maintenance","NH","U.S. Forest Service for White Mountain National Forest, Saco Rang- er Station.","10,000,000","Shaheen"
"340","Forest Service","Capital Improvement and Maintenance","OR","U.S. Forest Service for Timberline Lodge Fire Suppression System Modernization.","1,900,000","Merkley, Wyden"
"341","Forest Service","State, Private, and Tribal Forestry","AK","Alaska Division of Forestry and Fire Protection for Fuels Reduction Projects and Community Wildfire Protection Plans.","3,500,000","Murkowski"
"342","Forest Service","State, Private, and Tribal Forestry","CA","City of Jurupa Valley for Heli-hydrant Project","1,000,000","Padilla"
"343","Forest Service","State, Private, and Tribal Forestry","CO","City of Ft. Collins for Michigan Ditch Forest Health","500,000","Bennet, Hickenlooper"
"344","Forest Service","State, Private, and Tribal Forestry","CO","Estes Valley Watershed Coalition for Wildfire Mitigation","105,000","Bennet, Hickenlooper"
"345","Forest Service","State, Private, and Tribal Forestry","CO","National Forest Foundation for Wildfire Resiliency","1,299,000","Bennet, Hickenlooper"
"346","Forest Service","State, Private, and Tribal Forestry","CO","West Region Wildfire Council for Forest Resilience","500,000","Bennet, Hickenlooper"
"347","Forest Service","State, Private, and Tribal Forestry","HI","Hawaii Division of Forestry and Wildlife for Volcano Rare Plant Fa- cility.","250,000","Hirono, Schatz"
"348","Forest Service","State, Private, and Tribal Forestry","HI","The Nature Conservancy Hawaii and Palmyra for Building Hawaiian Forest Resilience through Wildfire Mitigation Strategies.","400,000","Schatz"
"349","Forest Service","State, Private, and Tribal Forestry","KS","Kansas Forest Service for Wildfire Mitigation","2,000,000","Moran"
"350","Forest Service","State, Private, and Tribal Forestry","MA","City of Lynn for Urban Forestry Fellowship: Supporting a Healthy Tree Canopy.","550,000","Markey, Warren"
"351","Forest Service","State, Private, and Tribal Forestry","NM","Mescalero Apache Tribe for Forest Restoration","700,000","Heinrich"
"352","Forest Service","State, Private, and Tribal Forestry","NM","New Mexico Energy, Minerals and Natural Resources Department for Cimarron Range Philmont West Bear Caves Restoration.","1,300,000","Luján"
"353","Forest Service","State, Private, and Tribal Forestry","NM","Pueblo of Tesuque for Forest Restoration","1,000,000","Heinrich"
"354","Forest Service","State, Private, and Tribal Forestry","NM","Taos Pueblo for Wildfire Preparedness Equipment Purchase","525,000","Heinrich"
"355","Forest Service","State, Private, and Tribal Forestry","NV","Nevada Division of Water Resources for Nevada Water Initiative Phase II.","1,500,000","Cortez Masto, Rosen"
"356","Forest Service","State, Private, and Tribal Forestry","OR","Oregon Department of the State Fire Marshal for Statewide Wildfire Risk Reduction.","2,500,000","Merkley, Wyden"
"357","Forest Service","State, Private, and Tribal Forestry","OR","Sweet Home Fire Department for Wildland Fire Equipment and Ac- tivities.","1,340,000","Merkley, Wyden"
"358","Forest Service","State, Private, and Tribal Forestry","OR","Tualatin Hills Park and Recreation District for Community Forest Wildfire Mitigation.","125,000","Merkley, Wyden"
"359","Forest Service","State, Private, and Tribal Forestry","VT","Intervale Center for Intervale Conservation Nursery","500,000","Welch"
"360","Indian Health Service","Indian Health Facilities","NM","Pueblo of Isleta for Chical Water Line Improvement Project","532,000","Luján"
"361","Indian Health Service","Indian Health Facilities","NM","Pueblo of Zuni for Water System Improvements","1,000,000","Heinrich, Luján"
"362","Indian Health Service","Indian Health Facilities","SD","Cheyenne River Sioux Tribe Sanitation Facilities Construction Project.","6,587,000","Rounds"
"363","Indian Health Service","Indian Health Facilities","SD","Oglala Sioux Tribe for Sanitation Facilities Construction Project","8,920,000","Rounds"
"364","National Park Service","Construction","ME","National Park Service for Schoodic Research Learning Center Ren- ovations.","3,190,000","Collins"
"365","National Park Service","Historic Preservation Fund","CT","Goodspeed Musicals for Accessibility Upgrades, Save America's Treasures.","500,000","Blumenthal, Mur- phy"
"366","National Park Service","Historic Preservation Fund","CT","Greenwich Historical Society for Bush-Holley House Preservation, Save America's Treasures.","250,000","Blumenthal, Mur- phy"
"367","National Park Service","Historic Preservation Fund","CT","Music Mountain, Inc., for Renovations and Improvements to His- toric Campus, Save America's Treasures.","250,000","Blumenthal, Mur- phy"
"368","National Park Service","Historic Preservation Fund","CT","Town of Essex for Centerbrook Meeting House Renovation, Save America's Treasures.","500,000","Blumenthal, Mur- phy"
"369","National Park Service","Historic Preservation Fund","DE","Delaware Africa Coalition for Historic Preservation of Bechtel House, Save America's Treasures.","500,000","Coons"
"370","National Park Service","Historic Preservation Fund","DE","Delaware Historical Society for Historic Preservation of Old Town Hall, Save America's Treasures.","400,000","Coons"
"371","National Park Service","Historic Preservation Fund","DE","Grand Opera House for Preservation, Save America's Treasures","500,000","Coons"
