"state","allotment","pct","fy","program","fy25_allotment","base_total","hypothetical","account","total_earmarks","state_abbr","actual_total","difference","diff_as_pct","bar_color"
"Idaho",4938000,0.01,"FY23","DWSRF",10906000,1103040899,11030408.99,NA,0,"ID",4938000,-6092408.99,-0.552328476262601,"Negative"
"Illinois",14985000,0.0303,"FY23","DWSRF",33096000,1103040899,33422139.2397,"STAG— Drinking Water State Revolving Fund",25470095,"IL",40455095,7032955.7603,0.210428055184032,"Positive"
"Indiana",8473000,0.0172,"FY23","DWSRF",18713000,1103040899,18972303.4628,NA,0,"IN",8473000,-10499303.4628,-0.553401619544329,"Negative"
"Iowa",7424000,0.015,"FY23","DWSRF",16397000,1103040899,16545613.485,NA,0,"IA",7424000,-9121613.485,-0.551301013605178,"Negative"
"Kansas",5507000,0.0112,"FY23","DWSRF",12163000,1103040899,12354058.0688,"STAG— Drinking Water State Revolving Fund",1e+07,"KS",15507000,3152941.9312,0.255215081039866,"Positive"
"Kentucky",6012000,0.0122,"FY23","DWSRF",13277000,1103040899,13457098.9678,"STAG— Drinking Water State Revolving Fund",11328000,"KY",17340000,3882901.0322,0.288539234309784,"Positive"
"Louisiana",6741000,0.0137,"FY23","DWSRF",14889000,1103040899,15111660.3163,"STAG— Drinking Water State Revolving Fund",4430000,"LA",11171000,-3940660.3163,-0.260769513992414,"Negative"
"Maine",4938000,0.01,"FY23","DWSRF",10906000,1103040899,11030408.99,"STAG— Drinking Water State Revolving Fund",6084000,"ME",11022000,-8408.99000000022,-0.000762346165733626,"Negative"
"Maryland",10260000,0.0208,"FY23","DWSRF",22660000,1103040899,22943250.6992,"STAG— Drinking Water State Revolving Fund",5845000,"MD",16105000,-6838250.6992,-0.298050646303509,"Negative"
"Massachusetts",10602000,0.0215,"FY23","DWSRF",23415000,1103040899,23715379.3285,"STAG— Drinking Water State Revolving Fund",14600894,"MA",25202894,1487514.6715,0.0627236297128243,"Positive"
