program,type,fy,state_abbr,GEOID,NAME,population,B01003_001M,mhi,B19013_001M,below_poverty,B17001_002M,white_non_hispanic,B03002_003M,pct_below_poverty,pct_poc,place_name
CW,earmark,23,IA,1949215,"Maquoketa city, Iowa",6105,25,56039,7043,951,276,5705,112,15.577395577395578,6.552006552006546,Maquoketa
CW,earmark,23,ID,1668500,"Roberts city, Idaho",534,179,57083,31082,81,56,227,92,15.168539325842698,57.49063670411985,Roberts
CW,earmark,23,ID,1632500,"Grace city, Idaho",1345,202,69286,4402,62,36,995,197,4.609665427509293,26.022304832713743,Grace
CW,earmark,23,IL,1719837,"Diamond village, Illinois",2900,424,60000,18244,410,252,2608,416,14.13793103448276,10.06896551724138,Diamond
CW,earmark,23,IL,1710373,"Cahokia Heights city, Illinois",17173,620,37975,5691,5431,1259,3489,591,31.625225644907708,79.6832236650556,Cahokia Heights
CW,earmark,23,IL,1711982,"Cedar Point village, Illinois",218,57,59028,28990,9,9,190,52,4.128440366972478,12.844036697247702,Cedar Point
CW,earmark,23,IL,1773170,"Streator city, Illinois",12274,472,54953,8298,2495,583,9527,670,20.32752159035359,22.380642007495524,Streator
CW,earmark,23,IL,1714000,"Chicago city, Illinois",2707648,72,75134,876,447143,10150,872159,6482,16.51407420757794,67.7890552981776,Chicago
CW,earmark,23,IL,1759000,"Peoria city, Illinois",112126,429,58716,2100,21653,1958,61493,1046,19.311310489984482,45.157233826231206,Peoria
CW,earmark,23,IL,1724920,"Fairmont CDP, Illinois",2409,394,59244,5299,410,216,516,116,17.0195101701951,78.58032378580324,Fairmont
CW,earmark,23,IL,1777681,"Vernon village, Illinois",83,27,49583,17932,22,12,80,26,26.506024096385545,3.6144578313252964,Vernon
CW,earmark,23,IL,1781048,"Wheaton city, Illinois",53453,50,119566,4028,2944,589,41721,919,5.507642227751482,21.9482536059716,Wheaton
CW,earmark,23,IL,1734449,"Heyworth village, Illinois",2818,308,90556,12959,196,140,2572,311,6.95528743789922,8.729595457771467,Heyworth
CW,earmark,23,IL,1753871,"Northlake city, Illinois",12547,61,77564,11759,1229,473,3628,531,9.795170160197657,71.08472144735794,Northlake
CW,earmark,23,IL,1732746,"Hanover Park village, Illinois",36850,86,92263,7433,5004,1041,11443,1110,13.579375848032566,68.94708276797829,Hanover Park
CW,earmark,23,KS,2025325,"Garden City city, Kansas",27781,27,72511,5976,3090,756,9456,439,11.122709765667182,65.96234836758936,Garden City
CW,earmark,23,KY,2130700,"Georgetown city, Kentucky",38206,38,78373,3192,4479,774,31404,438,11.723289535675024,17.80348636339842,Georgetown
